slug,series_id,concept,label,domain_id,dataset_id,frequency,units,price_basis,first_observation,last_observation,territorial_definition,reconstruction_method,methodological_breaks,source_status,review_status,rejection_or_hold_reason,project_period_coverage_status,project_period_overlap_start_year,project_period_overlap_end_year
current_account_balance,12512877,current_account,Current account-Balance-Seasonally and calendar effects adjusted-Monthly-M€,3,4c4e01bce4a325307e95143e099a1a50,monthly,millions of euros,current_prices,1996-01-31,2026-05-31,Portugal reference territory; all countries counterparty,balance_of_payments_monthly_series,not_reviewed_in_source_notes,original_or_harmonised_not_yet_confirmed,rejected_for_1960_1973,Coverage starts after the project period.,outside_project_period,,
total_employment_national_accounts_quarterly,12562670,employment,TSPE-Employment Total-Quarterly-Thousands of people,134,e1bc26e910f42ba278827b0ad804be2a,quarterly,thousands of people,not_applicable,1977-03-31,2024-12-31,Portugal reference territory in BPstat metadata,time_series_for_the_portuguese_economy,not_reviewed_in_source_notes,original_or_harmonised_not_yet_confirmed,rejected_for_1960_1973,Coverage starts after the project period.,outside_project_period,,
exports_goods_services_current_annual,12518352,exports_goods_services,Exports of goods and services-CP-A,54,ce3e4e50cda325537eff729ef64037cd,annual,millions of euros,current_prices,1953-12-31,2025-12-31,"Portugal reference territory in BPstat metadata; national-accounts goods-and-services concept, not merchandise-only trade",national_accounts_expenditure_approach_historical_series,not_reviewed_in_source_notes,reconstructed_or_harmonised_not_yet_confirmed,accepted_for_context_not_enabled_for_extraction,Accepted for macro context only; not a replacement for INE/Comtrade merchandise-trade totals.,covers_full_project_period,1960,1973
gdp_deflator_annual,12706851,gdp_deflator,Deflators of GDP at market prices-annual,181,0623eb9d3bebc56c07359ba1fa875039,annual,index,deflator,1953-12-31,2025-12-31,Portugal reference territory in BPstat metadata; historical treatment of overseas territories not yet independently reviewed,national_accounts_deflator_historical_series,not_reviewed_in_source_notes,reconstructed_or_harmonised_not_yet_confirmed,accepted_for_context_not_enabled_for_extraction,Accepted for context only; extraction disabled until territorial and methodological definitions are reviewed.,covers_full_project_period,1960,1973
tspe_gdp_deflator_quarterly,12562616,gdp_deflator,TSPE-GDP-Quarterly-Deflator (2016=1),31,911c96b897efe17121383bc621c3966e,quarterly,index,deflator_2016_equals_1,1977-03-31,2024-12-31,Portugal reference territory in BPstat metadata,time_series_for_the_portuguese_economy,not_reviewed_in_source_notes,original_or_harmonised_not_yet_confirmed,rejected_for_1960_1973,Coverage starts after the project period; annual domain 181 candidate covers the project period instead.,outside_project_period,,
gdp_deflator_yoy_annual,12706759,gdp_deflator_growth,Deflators of GDP at market prices-YoY-annual,181,0623eb9d3bebc56c07359ba1fa875039,annual,year_over_year_percent_change,deflator_yoy,1954-12-31,2025-12-31,Portugal reference territory in BPstat metadata; historical treatment of overseas territories not yet independently reviewed,national_accounts_deflator_historical_series,not_reviewed_in_source_notes,reconstructed_or_harmonised_not_yet_confirmed,accepted_for_context_not_enabled_for_extraction,Accepted for context only; extraction disabled until territorial and methodological definitions are reviewed.,covers_full_project_period,1960,1973
gdp_growth_chain_volume_yoy_annual,12518303,gdp_growth,GDP at market prices-Annual-Chained volume-YoY,54,ce3e4e50cda325537eff729ef64037cd,annual,year_over_year_percent_change,chain_linked_volume_yoy,1954-12-31,2025-12-31,Portugal reference territory in BPstat metadata; historical treatment of overseas territories not yet independently reviewed,national_accounts_expenditure_approach_historical_series,not_reviewed_in_source_notes,reconstructed_or_harmonised_not_yet_confirmed,accepted_for_context_not_enabled_for_extraction,Accepted for context only; extraction disabled until territorial and methodological definitions are reviewed.,covers_full_project_period,1960,1973
gross_fixed_capital_formation_current_annual,12518349,gross_fixed_capital_formation,Gross fixed capital formation-CP-A,54,ce3e4e50cda325537eff729ef64037cd,annual,millions of euros,current_prices,1953-12-31,2025-12-31,Portugal reference territory in BPstat metadata; historical treatment of overseas territories not yet independently reviewed,national_accounts_expenditure_approach_historical_series,not_reviewed_in_source_notes,reconstructed_or_harmonised_not_yet_confirmed,accepted_for_context_not_enabled_for_extraction,Accepted for context only; extraction disabled until territorial and methodological definitions are reviewed.,covers_full_project_period,1960,1973
imports_goods_services_current_annual,12518343,imports_goods_services,Imports of goods and services-CP-A,54,ce3e4e50cda325537eff729ef64037cd,annual,millions of euros,current_prices,1953-12-31,2025-12-31,"Portugal reference territory in BPstat metadata; national-accounts goods-and-services concept, not merchandise-only trade",national_accounts_expenditure_approach_historical_series,not_reviewed_in_source_notes,reconstructed_or_harmonised_not_yet_confirmed,accepted_for_context_not_enabled_for_extraction,Accepted for macro context only; not a replacement for INE/Comtrade merchandise-trade totals.,covers_full_project_period,1960,1973
investment_income_psac,12509211,investment_income,Investment income-Balance-PSAC-Monthly-M€,3,6d2cc2aad985abe4db42b9d1f83c8c97,monthly,millions of euros,current_prices,1996-01-31,2026-05-31,Portugal reference; Portuguese-speaking African countries counterparty,balance_of_payments_monthly_series,not_reviewed_in_source_notes,original_or_harmonised_not_yet_confirmed,rejected_for_1960_1973,Coverage starts after the project period.,outside_project_period,,
