source_id,source_pdf_filename,source_pdf_sha256,publication_year,reference_year,table_title,page_number,flow,partner_group_source,series_name_source,value_source,printed_total_value_source,currency_source,unit_source,unit_multiplier,valuation_basis,territorial_definition,cell_status,footnote,transcriber,transcription_date,entry_pass,adjudication_status
ine_external_trade_yearbook,ine_external_trade_1962_volume_i.pdf,4f65453197d811905bcb7fe919926ddb09fe3c850875af5ae232c2c600a948dc,1963,1962,Quadro III - Comercio especial por territorios estatisticos - Importacao,38,M,World,total_imports_special_trade_current_escudos,16829535,16829535,PTE,thousand current escudos,1000,special trade; import values declared by importers and accepted by customs per explanatory note,INE statistical territories as printed in the 1962 volume; metropolitan-territory scope remains pending territorial-definition review,transcribed,Pass 2 uses the World total printed in the territory table on Volume I PDF page 38.,visual_transcription_pass_2,2026-08-07,pass_2,pending_comparison
ine_external_trade_yearbook,ine_external_trade_1962_volume_i.pdf,4f65453197d811905bcb7fe919926ddb09fe3c850875af5ae232c2c600a948dc,1963,1962,Quadro III - Comercio especial por territorios estatisticos - Exportacao,39,X,World,total_exports_special_trade_current_escudos,10631829,10631829,PTE,thousand current escudos,1000,special trade; export values follow INE explanatory note conventions,INE statistical territories as printed in the 1962 volume; metropolitan-territory scope remains pending territorial-definition review,transcribed,Pass 2 uses the World total printed in the territory table on Volume I PDF page 39.,visual_transcription_pass_2,2026-08-07,pass_2,pending_comparison
ine_external_trade_yearbook,ine_external_trade_1962_volume_i.pdf,4f65453197d811905bcb7fe919926ddb09fe3c850875af5ae232c2c600a948dc,1963,1962,Quadro III - Comercio especial por territorios estatisticos - Importacao,38,M,Ultramar,imports_from_overseas_territories_special_trade_current_escudos,2122236,2122236,PTE,thousand current escudos,1000,special trade; import values declared by importers and accepted by customs per explanatory note,Ultramar row in INE statistical-territory table; individual overseas territories are listed separately below the aggregate row,transcribed,Volume I PDF page 38 prints the Ultramar import aggregate.,visual_transcription_pass_2,2026-08-07,pass_2,pending_comparison
ine_external_trade_yearbook,ine_external_trade_1962_volume_i.pdf,4f65453197d811905bcb7fe919926ddb09fe3c850875af5ae232c2c600a948dc,1963,1962,Quadro III - Comercio especial por territorios estatisticos - Exportacao,39,X,Ultramar,exports_to_overseas_territories_special_trade_current_escudos,2390852,2390852,PTE,thousand current escudos,1000,special trade; export values follow INE explanatory note conventions,Ultramar row in INE statistical-territory table; individual overseas territories are listed separately below the aggregate row,transcribed,Volume I PDF page 39 prints the Ultramar export aggregate.,visual_transcription_pass_2,2026-08-07,pass_2,pending_comparison
ine_external_trade_yearbook,ine_external_trade_1965_volume_i.pdf,d6b95a6b73d54ce1935955b6be7cfed9f20e1d7a3535e1b8c2432edaaff4c6f3,1966,1965,Quadro I - Comercio especial. Importacao,30,M,World,total_imports_special_trade_current_escudos,26552743,26552743,PTE,thousand current escudos,1000,special trade; import values to be confirmed from source notes,INE statistical territories as printed in the 1965 volume; verify against page 23,transcribed,Pass 2 visual verification from rendered Volume I PDF page 30.,visual_transcription_pass_2,2026-08-08,pass_2,pending_comparison
ine_external_trade_yearbook,ine_external_trade_1965_volume_i.pdf,d6b95a6b73d54ce1935955b6be7cfed9f20e1d7a3535e1b8c2432edaaff4c6f3,1966,1965,Quadro II - Comercio especial. Exportacao,38,X,World,total_exports_special_trade_current_escudos,16572637,16572637,PTE,thousand current escudos,1000,special trade; export values to be confirmed from source notes,INE statistical territories as printed in the 1965 volume; verify against page 23,transcribed,Pass 2 visual verification from rendered Volume I PDF page 38.,visual_transcription_pass_2,2026-08-08,pass_2,pending_comparison
ine_external_trade_yearbook,ine_external_trade_1965_volume_i.pdf,d6b95a6b73d54ce1935955b6be7cfed9f20e1d7a3535e1b8c2432edaaff4c6f3,1966,1965,Quadro III - Comercio especial por territorios estatisticos - Importacao,48,M,Ultramar,imports_from_overseas_territories_special_trade_current_escudos,3651273,3651273,PTE,thousand current escudos,1000,special trade; import values to be confirmed from source notes,INE statistical territories as printed in the 1965 volume; verify against page 23,transcribed,Pass 2 visual verification from rendered Volume I PDF page 48.,visual_transcription_pass_2,2026-08-08,pass_2,pending_comparison
ine_external_trade_yearbook,ine_external_trade_1965_volume_i.pdf,d6b95a6b73d54ce1935955b6be7cfed9f20e1d7a3535e1b8c2432edaaff4c6f3,1966,1965,Quadro III - Comercio especial por territorios estatisticos - Exportacao,50,X,Ultramar,exports_to_overseas_territories_special_trade_current_escudos,4140029,4140029,PTE,thousand current escudos,1000,special trade; export values to be confirmed from source notes,INE statistical territories as printed in the 1965 volume; verify against page 23,transcribed,Pass 2 visual verification from rendered Volume I PDF page 50.,visual_transcription_pass_2,2026-08-08,pass_2,pending_comparison
ine_external_trade_yearbook,ine_external_trade_1970_volume_i.pdf,465a1d41cc1ebff60c479337d6214100a2c2ebf3b1cad16b3e609408a890d454,1971,1970,Quadro n.o 1 - Movimento comercial por seccoes da CMCE,24,M,World,total_imports_special_trade_current_escudos,45495031,45495031,PTE,thousand current escudos,1000,special trade; import values to be confirmed from source notes,INE statistical territories as printed in the 1970 volume; verify against page 18,transcribed,Pass 2 visual verification from rendered Volume I PDF page 24.,visual_transcription_pass_2,2026-08-08,pass_2,pending_comparison
ine_external_trade_yearbook,ine_external_trade_1970_volume_i.pdf,465a1d41cc1ebff60c479337d6214100a2c2ebf3b1cad16b3e609408a890d454,1971,1970,Quadro n.o 1 - Movimento comercial por seccoes da CMCE,24,X,World,total_exports_special_trade_current_escudos,27298661,27298661,PTE,thousand current escudos,1000,special trade; export values to be confirmed from source notes,INE statistical territories as printed in the 1970 volume; verify against page 18,transcribed,Pass 2 visual verification from rendered Volume I PDF page 24.,visual_transcription_pass_2,2026-08-08,pass_2,pending_comparison
