source_id,source_pdf_filename,source_pdf_sha256,publication_year,reference_year,table_title,page_number,flow,partner_group_source,series_name_source,value_source,printed_total_value_source,currency_source,unit_source,unit_multiplier,valuation_basis,territorial_definition,cell_status,footnote,transcriber,transcription_date,entry_pass,adjudication_status
ine_external_trade_yearbook,ine_external_trade_1962_volume_i.pdf,4f65453197d811905bcb7fe919926ddb09fe3c850875af5ae232c2c600a948dc,1963,1962,Quadro I - Comercio especial. Importacao,29,M,World,total_imports_special_trade_current_escudos,16829535,16829535,PTE,thousand current escudos,1000,special trade; import values declared by importers and accepted by customs per explanatory note,INE statistical territories as printed in the 1962 volume; metropolitan-territory scope remains pending territorial-definition review,transcribed,Explanatory note defines special trade and value conventions on Volume I PDF pages 9-11.,visual_transcription_pass_1,2026-08-07,pass_1,double_entry_verified
ine_external_trade_yearbook,ine_external_trade_1962_volume_i.pdf,4f65453197d811905bcb7fe919926ddb09fe3c850875af5ae232c2c600a948dc,1963,1962,Quadro II - Comercio especial. Exportacao,33,X,World,total_exports_special_trade_current_escudos,10631829,10631829,PTE,thousand current escudos,1000,special trade; export values follow INE explanatory note conventions,INE statistical territories as printed in the 1962 volume; metropolitan-territory scope remains pending territorial-definition review,transcribed,Explanatory note defines special trade and value conventions on Volume I PDF pages 9-11.,visual_transcription_pass_1,2026-08-07,pass_1,double_entry_verified
ine_external_trade_yearbook,ine_external_trade_1962_volume_i.pdf,4f65453197d811905bcb7fe919926ddb09fe3c850875af5ae232c2c600a948dc,1963,1962,Quadro III - Comercio especial por territorios estatisticos - Importacao,38,M,Ultramar,imports_from_overseas_territories_special_trade_current_escudos,2122236,2122236,PTE,thousand current escudos,1000,special trade; import values declared by importers and accepted by customs per explanatory note,Ultramar row in INE statistical-territory table; individual overseas territories are listed separately below the aggregate row,transcribed,Volume I PDF page 23 lists Portuguese overseas statistical territories; page 38 prints the Ultramar import aggregate.,visual_transcription_pass_1,2026-08-07,pass_1,double_entry_verified
ine_external_trade_yearbook,ine_external_trade_1962_volume_i.pdf,4f65453197d811905bcb7fe919926ddb09fe3c850875af5ae232c2c600a948dc,1963,1962,Quadro III - Comercio especial por territorios estatisticos - Exportacao,39,X,Ultramar,exports_to_overseas_territories_special_trade_current_escudos,2390852,2390852,PTE,thousand current escudos,1000,special trade; export values follow INE explanatory note conventions,Ultramar row in INE statistical-territory table; individual overseas territories are listed separately below the aggregate row,transcribed,Volume I PDF page 23 lists Portuguese overseas statistical territories; page 39 prints the Ultramar export aggregate.,visual_transcription_pass_1,2026-08-07,pass_1,double_entry_verified
ine_external_trade_yearbook,ine_external_trade_1965_volume_i.pdf,d6b95a6b73d54ce1935955b6be7cfed9f20e1d7a3535e1b8c2432edaaff4c6f3,1966,1965,Quadro I - Comercio especial. Importacao,30,M,World,total_imports_special_trade_current_escudos,26552743,26552743,PTE,thousand current escudos,1000,special trade; import values to be confirmed from source notes,INE statistical territories as printed in the 1965 volume; verify against page 23,transcribed,Pass 1 visual transcription from queued page candidate; requires independent pass 2 confirmation.,visual_transcription_pass_1,2026-08-07,pass_1,double_entry_verified
ine_external_trade_yearbook,ine_external_trade_1965_volume_i.pdf,d6b95a6b73d54ce1935955b6be7cfed9f20e1d7a3535e1b8c2432edaaff4c6f3,1966,1965,Quadro II - Comercio especial. Exportacao,38,X,World,total_exports_special_trade_current_escudos,16572637,16572637,PTE,thousand current escudos,1000,special trade; export values to be confirmed from source notes,INE statistical territories as printed in the 1965 volume; verify against page 23,transcribed,Pass 1 visual transcription from queued page candidate; requires independent pass 2 confirmation.,visual_transcription_pass_1,2026-08-07,pass_1,double_entry_verified
ine_external_trade_yearbook,ine_external_trade_1965_volume_i.pdf,d6b95a6b73d54ce1935955b6be7cfed9f20e1d7a3535e1b8c2432edaaff4c6f3,1966,1965,Quadro III - Comercio especial por territorios estatisticos - Importacao,48,M,Ultramar,imports_from_overseas_territories_special_trade_current_escudos,3651273,3651273,PTE,thousand current escudos,1000,special trade; import values to be confirmed from source notes,INE statistical territories as printed in the 1965 volume; verify against page 23,transcribed,Pass 1 visual transcription from queued page candidate; requires independent pass 2 confirmation.,visual_transcription_pass_1,2026-08-07,pass_1,double_entry_verified
ine_external_trade_yearbook,ine_external_trade_1965_volume_i.pdf,d6b95a6b73d54ce1935955b6be7cfed9f20e1d7a3535e1b8c2432edaaff4c6f3,1966,1965,Quadro III - Comercio especial por territorios estatisticos - Exportacao,50,X,Ultramar,exports_to_overseas_territories_special_trade_current_escudos,4140029,4140029,PTE,thousand current escudos,1000,special trade; export values to be confirmed from source notes,INE statistical territories as printed in the 1965 volume; verify against page 23,transcribed,Pass 1 visual transcription from queued page candidate; requires independent pass 2 confirmation.,visual_transcription_pass_1,2026-08-07,pass_1,double_entry_verified
ine_external_trade_yearbook,ine_external_trade_1970_volume_i.pdf,465a1d41cc1ebff60c479337d6214100a2c2ebf3b1cad16b3e609408a890d454,1971,1970,Quadro n.o 1 - Movimento comercial por seccoes da CMCE,24,M,World,total_imports_special_trade_current_escudos,45495031,45495031,PTE,thousand current escudos,1000,special trade; import values to be confirmed from source notes,INE statistical territories as printed in the 1970 volume; verify against page 18,transcribed,Pass 1 visual transcription from queued page candidate; requires independent pass 2 confirmation.,visual_transcription_pass_1,2026-08-07,pass_1,double_entry_verified
ine_external_trade_yearbook,ine_external_trade_1970_volume_i.pdf,465a1d41cc1ebff60c479337d6214100a2c2ebf3b1cad16b3e609408a890d454,1971,1970,Quadro n.o 1 - Movimento comercial por seccoes da CMCE,24,X,World,total_exports_special_trade_current_escudos,27298661,27298661,PTE,thousand current escudos,1000,special trade; export values to be confirmed from source notes,INE statistical territories as printed in the 1970 volume; verify against page 18,transcribed,Pass 1 visual transcription from queued page candidate; requires independent pass 2 confirmation.,visual_transcription_pass_1,2026-08-07,pass_1,double_entry_verified
ine_external_trade_yearbook,ine_external_trade_1970_volume_i.pdf,465a1d41cc1ebff60c479337d6214100a2c2ebf3b1cad16b3e609408a890d454,1971,1970,Quadro n.o 2 - Comercio especial por paises e territorios estatisticos,25,M,Provincias Ultramarinas,imports_from_overseas_territories_special_trade_current_escudos,6716990,6716990,PTE,thousand current escudos,1000,special trade; import values to be confirmed from source notes,INE statistical territories as printed in the 1970 volume; verify against page 18,transcribed,Pass 1 visual transcription from queued page candidate; requires independent pass 2 confirmation.,visual_transcription_pass_1,2026-08-07,pass_1,double_entry_verified
ine_external_trade_yearbook,ine_external_trade_1970_volume_i.pdf,465a1d41cc1ebff60c479337d6214100a2c2ebf3b1cad16b3e609408a890d454,1971,1970,Quadro n.o 2 - Comercio especial por paises e territorios estatisticos,25,X,Provincias Ultramarinas,exports_to_overseas_territories_special_trade_current_escudos,6687814,6687814,PTE,thousand current escudos,1000,special trade; export values to be confirmed from source notes,INE statistical territories as printed in the 1970 volume; verify against page 18,transcribed,Pass 1 visual transcription from queued page candidate; requires independent pass 2 confirmation.,visual_transcription_pass_1,2026-08-07,pass_1,double_entry_verified
ine_external_trade_yearbook,ine_external_trade_1970_volume_i.pdf,465a1d41cc1ebff60c479337d6214100a2c2ebf3b1cad16b3e609408a890d454,1971,1970,Quadro n.o 2 - Comercio especial por paises e territorios estatisticos,25,M,CEE,imports_from_eec_special_trade_current_escudos,15047905,15047905,PTE,thousand current escudos,1000,special trade; import values to be confirmed from source notes,INE statistical territories as printed in the 1970 volume; verify against page 18,transcribed,Pass 1 visual transcription from queued page candidate; requires independent pass 2 confirmation.,visual_transcription_pass_1,2026-08-07,pass_1,double_entry_verified
ine_external_trade_yearbook,ine_external_trade_1970_volume_i.pdf,465a1d41cc1ebff60c479337d6214100a2c2ebf3b1cad16b3e609408a890d454,1971,1970,Quadro n.o 2 - Comercio especial por paises e territorios estatisticos,25,X,CEE,exports_to_eec_special_trade_current_escudos,5005444,5005444,PTE,thousand current escudos,1000,special trade; export values to be confirmed from source notes,INE statistical territories as printed in the 1970 volume; verify against page 18,transcribed,Pass 1 visual transcription from queued page candidate; requires independent pass 2 confirmation.,visual_transcription_pass_1,2026-08-07,pass_1,double_entry_verified
ine_external_trade_yearbook,ine_external_trade_1970_volume_i.pdf,465a1d41cc1ebff60c479337d6214100a2c2ebf3b1cad16b3e609408a890d454,1971,1970,Quadro n.o 2 - Comercio especial por paises e territorios estatisticos,25,M,EFTA,imports_from_efta_special_trade_current_escudos,11023880,11023880,PTE,thousand current escudos,1000,special trade; import values to be confirmed from source notes,INE statistical territories as printed in the 1970 volume; verify against page 18,transcribed,Pass 1 visual transcription from queued page candidate; requires independent pass 2 confirmation.,visual_transcription_pass_1,2026-08-07,pass_1,double_entry_verified
ine_external_trade_yearbook,ine_external_trade_1970_volume_i.pdf,465a1d41cc1ebff60c479337d6214100a2c2ebf3b1cad16b3e609408a890d454,1971,1970,Quadro n.o 2 - Comercio especial por paises e territorios estatisticos,25,X,EFTA,exports_to_efta_special_trade_current_escudos,9671172,9671172,PTE,thousand current escudos,1000,special trade; export values to be confirmed from source notes,INE statistical territories as printed in the 1970 volume; verify against page 18,transcribed,Pass 1 visual transcription from queued page candidate; requires independent pass 2 confirmation.,visual_transcription_pass_1,2026-08-07,pass_1,double_entry_verified
ine_external_trade_yearbook,ine_external_trade_1973_volume_i.pdf,ef13f704b430a739a258e56e080d21d930b074fe49774b6726989329a339225f,1974,1973,Quadro n.o 1 - Movimento comercial por seccoes da CMCE,23,M,World,total_imports_special_trade_current_escudos,74775538,74775538,PTE,thousand current escudos,1000,special trade; import values to be confirmed from source notes,INE statistical territories as printed in the 1973 volume; verify against page 17,transcribed,Pass 1 visual transcription from queued page candidate; requires independent pass 2 confirmation.,visual_transcription_pass_1,2026-08-07,pass_1,double_entry_verified
ine_external_trade_yearbook,ine_external_trade_1973_volume_i.pdf,ef13f704b430a739a258e56e080d21d930b074fe49774b6726989329a339225f,1974,1973,Quadro n.o 1 - Movimento comercial por seccoes da CMCE,23,X,World,total_exports_special_trade_current_escudos,45410493,45410493,PTE,thousand current escudos,1000,special trade; export values to be confirmed from source notes,INE statistical territories as printed in the 1973 volume; verify against page 17,transcribed,Pass 1 visual transcription from queued page candidate; requires independent pass 2 confirmation.,visual_transcription_pass_1,2026-08-07,pass_1,double_entry_verified
ine_external_trade_yearbook,ine_external_trade_1973_volume_i.pdf,ef13f704b430a739a258e56e080d21d930b074fe49774b6726989329a339225f,1974,1973,Quadro n.o 2 - Comercio especial por paises e territorios estatisticos,24,M,Provincias Ultramarinas,imports_from_overseas_territories_special_trade_current_escudos,7538574,7538574,PTE,thousand current escudos,1000,special trade; import values to be confirmed from source notes,INE statistical territories as printed in the 1973 volume; verify against page 17,transcribed,Pass 1 visual transcription from queued page candidate; requires independent pass 2 confirmation.,visual_transcription_pass_1,2026-08-07,pass_1,double_entry_verified
ine_external_trade_yearbook,ine_external_trade_1973_volume_i.pdf,ef13f704b430a739a258e56e080d21d930b074fe49774b6726989329a339225f,1974,1973,Quadro n.o 2 - Comercio especial por paises e territorios estatisticos,24,X,Provincias Ultramarinas,exports_to_overseas_territories_special_trade_current_escudos,6739823,6739823,PTE,thousand current escudos,1000,special trade; export values to be confirmed from source notes,INE statistical territories as printed in the 1973 volume; verify against page 17,transcribed,Pass 1 visual transcription from queued page candidate; requires independent pass 2 confirmation.,visual_transcription_pass_1,2026-08-07,pass_1,double_entry_verified
ine_external_trade_yearbook,ine_external_trade_1973_volume_i.pdf,ef13f704b430a739a258e56e080d21d930b074fe49774b6726989329a339225f,1974,1973,Quadro n.o 2 - Comercio especial por paises e territorios estatisticos,24,M,CEE,imports_from_eec_special_trade_current_escudos,33583125,33583125,PTE,thousand current escudos,1000,special trade; import values to be confirmed from source notes,INE statistical territories as printed in the 1973 volume; verify against page 17,transcribed,Pass 1 visual transcription from queued page candidate; requires independent pass 2 confirmation.,visual_transcription_pass_1,2026-08-07,pass_1,double_entry_verified
ine_external_trade_yearbook,ine_external_trade_1973_volume_i.pdf,ef13f704b430a739a258e56e080d21d930b074fe49774b6726989329a339225f,1974,1973,Quadro n.o 2 - Comercio especial por paises e territorios estatisticos,24,X,CEE,exports_to_eec_special_trade_current_escudos,22083664,22083664,PTE,thousand current escudos,1000,special trade; export values to be confirmed from source notes,INE statistical territories as printed in the 1973 volume; verify against page 17,transcribed,Pass 1 visual transcription from queued page candidate; requires independent pass 2 confirmation.,visual_transcription_pass_1,2026-08-07,pass_1,double_entry_verified
ine_external_trade_yearbook,ine_external_trade_1973_volume_i.pdf,ef13f704b430a739a258e56e080d21d930b074fe49774b6726989329a339225f,1974,1973,Quadro n.o 2 - Comercio especial por paises e territorios estatisticos,24,M,EFTA,imports_from_efta_special_trade_current_escudos,8669779,8669779,PTE,thousand current escudos,1000,special trade; import values to be confirmed from source notes,INE statistical territories as printed in the 1973 volume; verify against page 17,transcribed,Pass 1 visual transcription from queued page candidate; requires independent pass 2 confirmation.,visual_transcription_pass_1,2026-08-07,pass_1,double_entry_verified
ine_external_trade_yearbook,ine_external_trade_1973_volume_i.pdf,ef13f704b430a739a258e56e080d21d930b074fe49774b6726989329a339225f,1974,1973,Quadro n.o 2 - Comercio especial por paises e territorios estatisticos,24,X,EFTA,exports_to_efta_special_trade_current_escudos,6272880,6272880,PTE,thousand current escudos,1000,special trade; export values to be confirmed from source notes,INE statistical territories as printed in the 1973 volume; verify against page 17,transcribed,Pass 1 visual transcription from queued page candidate; requires independent pass 2 confirmation.,visual_transcription_pass_1,2026-08-07,pass_1,double_entry_verified
