year,sector,real_manufacturing_gva_million_eur,manufacturing_gva_million_eur,manufacturing_gva_deflator_yoy_percent,nominal_gdp_million_eur,real_gdp_chain_linked_million_eur,manufacturing_gva_share_of_nominal_gdp,real_manufacturing_gva_share_of_real_gdp,source_status,coverage_status
1953,manufacturing,,73.497,,328.036,,0.224051628479801,,bpstat_broad_sector_context_with_classification_caveats,covers_1960_1973
1954,manufacturing,3134.362,75.742,-2.6,347.818,35338.224,0.2177633129970272,0.08869608161406187,bpstat_broad_sector_context_with_classification_caveats,covers_1960_1973
1955,manufacturing,3180.707,77.899,1.35,363.537,36894.738,0.21428080222920914,0.08621031541137385,bpstat_broad_sector_context_with_classification_caveats,covers_1960_1973
1956,manufacturing,3548.552,91.115,4.84,388.512,38326.88,0.23452300057655875,0.09258650847655746,bpstat_broad_sector_context_with_classification_caveats,covers_1960_1973
1957,manufacturing,3675.193,93.405,-1.02,412.789,40416.076,0.22627783201587254,0.09093393925724012,bpstat_broad_sector_context_with_classification_caveats,covers_1960_1973
1958,manufacturing,4006.981,102.632,0.78,439.733,42345.318,0.23339617449679692,0.09462630555755894,bpstat_broad_sector_context_with_classification_caveats,covers_1960_1973
1959,manufacturing,4356.253,109.55,-1.82,466.725,43831.717,0.2347206599175103,0.09938586252507517,bpstat_broad_sector_context_with_classification_caveats,covers_1960_1973
1960,manufacturing,4572.752,116.418,1.24,493.923,45484.593,0.23570070638540827,0.10053408634435841,bpstat_broad_sector_context_with_classification_caveats,covers_1960_1973
1961,manufacturing,4338.83,118.082,6.9,516.075,46733.128,0.22880782831952717,0.09284270464412311,bpstat_broad_sector_context_with_classification_caveats,covers_1960_1973
1962,manufacturing,5171.232,136.657,-2.9,577.39,51503.649,0.2366805798507075,0.1004051577005738,bpstat_broad_sector_context_with_classification_caveats,covers_1960_1973
1963,manufacturing,5469.768,146.847,1.59,597.435,52284.948,0.24579577694644608,0.10461458238420741,bpstat_broad_sector_context_with_classification_caveats,covers_1960_1973
1964,manufacturing,6116.165,163.559,-0.39,649.418,55120.09,0.25185473762661337,0.11096072230651294,bpstat_broad_sector_context_with_classification_caveats,covers_1960_1973
1965,manufacturing,7552.013,209.122,3.55,756.28,60333.268,0.2765139895276882,0.12517162173280585,bpstat_broad_sector_context_with_classification_caveats,covers_1960_1973
1966,manufacturing,8184.697,221.263,-2.37,810.459,62098.283,0.2730094921519781,0.1318023076419037,bpstat_broad_sector_context_with_classification_caveats,covers_1960_1973
1967,manufacturing,8365.842,238.405,5.41,907.105,65202.979,0.2628196294806004,0.12830459786200873,bpstat_broad_sector_context_with_classification_caveats,covers_1960_1973
1968,manufacturing,8343.055,245.144,3.11,979.622,67492.904,0.25024346125342223,0.12361380983103054,bpstat_broad_sector_context_with_classification_caveats,covers_1960_1973
1969,manufacturing,9078.461,268.739,0.74,1048.462,69057.397,0.25631734864973643,0.13146254267301735,bpstat_broad_sector_context_with_classification_caveats,covers_1960_1973
1970,manufacturing,10080.418,292.818,-1.87,1186.648,74097.473,0.2467606232008144,0.13604266909345208,bpstat_broad_sector_context_with_classification_caveats,covers_1960_1973
1971,manufacturing,11292.698,324.034,-1.22,1377.045,78755.18,0.23531111909923058,0.143389907813048,bpstat_broad_sector_context_with_classification_caveats,covers_1960_1973
1972,manufacturing,12179.519,378.653,8.35,1624.357,86403.455,0.23310947039351573,0.14096101828335453,bpstat_broad_sector_context_with_classification_caveats,covers_1960_1973
1973,manufacturing,13262.045,453.678,10.03,1919.137,91253.259,0.23639688047283752,0.14533228889940247,bpstat_broad_sector_context_with_classification_caveats,covers_1960_1973
