year,real_exports_goods_services_million_eur,exports_goods_services_million_eur,nominal_gdp_million_eur,gdp_deflator_index,gdp_deflator_yoy_percent,real_gdp_yoy_percent,real_gfcf_million_eur,gfcf_million_eur,real_imports_goods_services_million_eur,imports_goods_services_million_eur,real_gdp_chain_linked_million_eur,resident_population_thousand_people,real_gdp_per_resident_thousand_eur,source_status,coverage_status
1950,,,,,,,,,,,,8439.169,,bpstat_context_with_methodological_caveats,covers_1960_1973
1951,,,,,,,,,,,,8493.313,,bpstat_context_with_methodological_caveats,covers_1960_1973
1952,,,,,,,,,,,,8556.082,,bpstat_context_with_methodological_caveats,covers_1960_1973
1953,,44.113,328.036,0.978,,,,63.49,,63.774,,8581.256,,bpstat_context_with_methodological_caveats,covers_1960_1973
1954,1316.968,50.799,347.818,0.984,0.66,5.331,4201.301,64.457,1322.579,68.297,35338.224,8605.703,4.106372715860634,bpstat_context_with_methodological_caveats,covers_1960_1973
1955,1421.931,56.436,363.537,0.985,0.11,4.405,4657.35,71.029,1422.443,76.628,36894.738,8640.326,4.270063189745387,bpstat_context_with_methodological_caveats,covers_1960_1973
1956,1510.456,61.46,388.512,1.014,2.88,3.882,5035.071,81.011,1479.825,81.642,38326.88,8683.018,4.414004439470239,bpstat_context_with_methodological_caveats,covers_1960_1973
1957,1522.993,61.934,412.789,1.021,0.76,5.451,5487.81,90.043,1589.657,91.185,40416.076,8712.672,4.638769369488488,bpstat_context_with_methodological_caveats,covers_1960_1973
1958,1675.05,66.083,439.733,1.038,1.67,4.773,6079.071,100.039,1646.045,88.958,42345.318,8749.932,4.839502524133901,bpstat_context_with_methodological_caveats,covers_1960_1973
1959,1635.333,62.355,466.725,1.065,2.54,3.51,6299.624,106.923,1670.059,87.649,43831.717,8800.84,4.980401529853968,bpstat_context_with_methodological_caveats,covers_1960_1973
1960,1785.758,70.142,493.923,1.086,1.98,3.771,6444.397,109.821,1901.481,100.679,45484.593,8857.712,5.135027307277546,bpstat_context_with_methodological_caveats,covers_1960_1973
1961,1816.477,71.78,516.075,1.104,1.69,2.745,7351.781,132.222,2522.698,130.281,46733.128,8929.314,5.233675061712467,bpstat_context_with_methodological_caveats,covers_1960_1973
1962,2342.221,88.645,577.39,1.121,1.52,10.208,7426.016,137.992,2324.925,117.939,51503.649,8993.978,5.726459304214442,bpstat_context_with_methodological_caveats,covers_1960_1973
1963,2521.395,97.023,597.435,1.143,1.93,1.517,6603.666,130.919,2532.039,129.132,52284.948,9030.35,5.789913790716859,bpstat_context_with_methodological_caveats,covers_1960_1973
1964,3099.046,123.306,649.418,1.178,3.11,5.422,7208.496,144.592,2894.851,152.711,55120.09,9035.361,6.10048563637911,bpstat_context_with_methodological_caveats,covers_1960_1973
1965,3412.323,142.058,756.28,1.254,6.39,9.458,8094.282,164.289,3354.755,179.914,60333.268,8998.587,6.704749090051583,bpstat_context_with_methodological_caveats,covers_1960_1973
1966,3841.247,162.13,810.459,1.305,4.12,2.925,9698.774,201.115,3598.177,195.072,62098.283,8930.985,6.95312812640487,bpstat_context_with_methodological_caveats,covers_1960_1973
1967,4172.236,179.233,907.105,1.391,6.6,5.0,9752.344,220.399,3971.644,210.534,65202.979,8874.517,7.347214389245071,bpstat_context_with_methodological_caveats,covers_1960_1973
1968,4216.463,181.788,979.622,1.451,4.33,3.512,10461.349,234.089,4698.18,237.115,67492.904,8836.644,7.637843507105186,bpstat_context_with_methodological_caveats,covers_1960_1973
1969,4468.52,197.91,1048.462,1.518,4.6,2.318,11876.441,270.1,4902.182,251.197,69057.397,8757.7,7.885334848190734,bpstat_context_with_methodological_caveats,covers_1960_1973
1970,4917.814,221.731,1186.648,1.601,5.48,7.298,12554.692,298.199,5561.409,299.009,74097.473,8680.429,8.536153339886772,bpstat_context_with_methodological_caveats,covers_1960_1973
1971,5425.6,257.063,1377.045,1.749,9.18,6.286,15091.965,379.168,6192.75,344.072,78755.18,8643.755,9.111223073768286,bpstat_context_with_methodological_caveats,covers_1960_1973
1972,6050.27,303.981,1624.357,1.88,7.52,9.711,18274.389,478.49,6873.692,392.681,86403.455,8630.43,10.011488998810025,bpstat_context_with_methodological_caveats,covers_1960_1973
1973,6817.095,374.821,1919.137,2.103,11.87,5.613,20039.81,585.242,7857.78,493.875,91253.259,8633.1,10.57016123987907,bpstat_context_with_methodological_caveats,covers_1960_1973
