iso_o,iso_d,year,FLOW,SOURCE_TF,XPTOT_o,IPTOT_o,XPTOT_d,IPTOT_d
AFG,PRT,1962,0.0,DOTS_IP,2.1035724e+07,4.1428588e+07,1.5024293e+08,2.0888749e+08
AGO,PRT,1962,1.0678576e+07,DOTS_IP,5.2750024e+07,4.825002e+07,1.5024293e+08,2.0888749e+08
ALB,PRT,1962,0.0,DOTS_IP,1.2714291e+06,3.6892872e+06,1.5024293e+08,2.0888749e+08
ANT,PRT,1962,3.32143e+06,DOTS_IP,2.3989294e+08,2.8293584e+08,1.5024293e+08,2.0888749e+08
ARE,PRT,1962,0.0,DOTS_IP,5.9740285e+06,6.071431e+07,1.5024293e+08,2.0888749e+08
ARG,PRT,1962,214285.81,DOTS_IP,4.8916128e+08,4.8110736e+08,1.5024293e+08,2.0888749e+08
ATG,PRT,1962,0.0,DOTS_IP,1.071429e+06,4.642859e+06,1.5024293e+08,2.0888749e+08
AUS,PRT,1962,642857.44,DOTS_IP,8.282861e+08,8.707682e+08,1.5024293e+08,2.0888749e+08
AUT,PRT,1962,1.5000006e+06,DOTS_IP,4.5046448e+08,5.5160736e+08,1.5024293e+08,2.0888749e+08
BDI,PRT,1962,0.0,DOTS_IP,3.2142872e+06,6.7857175e+06,1.5024293e+08,2.0888749e+08
BEL,PRT,1962,8.321432e+06,DOTS_IP,1.5406077e+09,1.6196436e+09,1.5024293e+08,2.0888749e+08
BEN,PRT,1962,0.0,DOTS_IP,4.1785732e+06,8.500004e+06,1.5024293e+08,2.0888749e+08
BFA,PRT,1962,0.0,DOTS_IP,3.892859e+06,1.2392863e+07,1.5024293e+08,2.0888749e+08
BGD,PRT,1962,0.0,DOTS_IP,,,1.5024293e+08,2.0888749e+08
BGR,PRT,1962,0.0,DOTS_IP,2.747254e+08,2.808304e+08,1.5024293e+08,2.0888749e+08
BHR,PRT,1962,392857.3,DOTS_IP,7.553574e+07,7.178574e+07,1.5024293e+08,2.0888749e+08
