year,flow_code,reporter_code,reporter_available,available_classifications,multiple_classifications_available,preferred_classification_for_checks,colonial_partner_codes_present,colonial_partner_count_present,world_value_usd,selected_partner_sum_usd,selected_coverage_ratio,unselected_world_value_usd,coverage_status,valuation_note,territorial_definition_status,territorial_definition,territorial_definition_evidence_count,territorial_definition_evidence_summary
1962,X,620,True,S1,False,S1,24;508;624;626,4,369792288.0,246740437.0,0.6672406240121481,123051851.0,selected_partner_subset,Verified from local Comtrade fields: exports use FOB value as primaryValue.,requires_historical_metadata_review,"Official UN Comtrade reference metadata identifies reporter code 620 as Portugal, but the reference endpoint does not specify whether the 1962-1973 reporter territory is mainland Portugal, mainland plus adjacent islands, metropolitan Portugal, or another customs/statistical area.",7,"UN Comtrade reference Reporters.json; INE Estatisticas do Comercio Externo 1962, Volume I; INE Estatisticas do Comercio Externo 1962, Volume I; INE Estatisticas do Comercio Externo 1969, Volume I; INE Estatisticas do Comercio Externo 1973, Volume I; INE Estatisticas do Comercio Externo 1960-1973, Volume I of each year; INE and UN Comtrade 1962 world totals"
1962,M,620,True,S1,False,S1,24;508;624;626,4,585345024.0,424762097.0,0.7256610709652159,160582927.0,selected_partner_subset,Verified from local Comtrade fields: imports use CIF value as primaryValue.,requires_historical_metadata_review,"Official UN Comtrade reference metadata identifies reporter code 620 as Portugal, but the reference endpoint does not specify whether the 1962-1973 reporter territory is mainland Portugal, mainland plus adjacent islands, metropolitan Portugal, or another customs/statistical area.",7,"UN Comtrade reference Reporters.json; INE Estatisticas do Comercio Externo 1962, Volume I; INE Estatisticas do Comercio Externo 1962, Volume I; INE Estatisticas do Comercio Externo 1969, Volume I; INE Estatisticas do Comercio Externo 1973, Volume I; INE Estatisticas do Comercio Externo 1960-1973, Volume I of each year; INE and UN Comtrade 1962 world totals"
1963,X,620,True,S1,False,S1,24;508;624;626,4,418157120.0,285985746.0,0.6839193506976516,132171374.0,selected_partner_subset,Verified from local Comtrade fields: exports use FOB value as primaryValue.,requires_historical_metadata_review,"Official UN Comtrade reference metadata identifies reporter code 620 as Portugal, but the reference endpoint does not specify whether the 1962-1973 reporter territory is mainland Portugal, mainland plus adjacent islands, metropolitan Portugal, or another customs/statistical area.",7,"UN Comtrade reference Reporters.json; INE Estatisticas do Comercio Externo 1962, Volume I; INE Estatisticas do Comercio Externo 1962, Volume I; INE Estatisticas do Comercio Externo 1969, Volume I; INE Estatisticas do Comercio Externo 1973, Volume I; INE Estatisticas do Comercio Externo 1960-1973, Volume I of each year; INE and UN Comtrade 1962 world totals"
1963,M,620,True,S1,False,S1,24;508;624;626,4,656176256.0,466192604.0,0.7104685665431941,189983652.0,selected_partner_subset,Verified from local Comtrade fields: imports use CIF value as primaryValue.,requires_historical_metadata_review,"Official UN Comtrade reference metadata identifies reporter code 620 as Portugal, but the reference endpoint does not specify whether the 1962-1973 reporter territory is mainland Portugal, mainland plus adjacent islands, metropolitan Portugal, or another customs/statistical area.",7,"UN Comtrade reference Reporters.json; INE Estatisticas do Comercio Externo 1962, Volume I; INE Estatisticas do Comercio Externo 1962, Volume I; INE Estatisticas do Comercio Externo 1969, Volume I; INE Estatisticas do Comercio Externo 1973, Volume I; INE Estatisticas do Comercio Externo 1960-1973, Volume I of each year; INE and UN Comtrade 1962 world totals"
1964,X,620,True,S1,False,S1,24;508;624;626,4,515699840.0,369682943.0,0.7168568115126814,146016897.0,selected_partner_subset,Verified from local Comtrade fields: exports use FOB value as primaryValue.,requires_historical_metadata_review,"Official UN Comtrade reference metadata identifies reporter code 620 as Portugal, but the reference endpoint does not specify whether the 1962-1973 reporter territory is mainland Portugal, mainland plus adjacent islands, metropolitan Portugal, or another customs/statistical area.",7,"UN Comtrade reference Reporters.json; INE Estatisticas do Comercio Externo 1962, Volume I; INE Estatisticas do Comercio Externo 1962, Volume I; INE Estatisticas do Comercio Externo 1969, Volume I; INE Estatisticas do Comercio Externo 1973, Volume I; INE Estatisticas do Comercio Externo 1960-1973, Volume I of each year; INE and UN Comtrade 1962 world totals"
1964,M,620,True,S1,False,S1,24;508;624;626,4,776289984.0,542057008.0,0.6982661365884633,234232976.0,selected_partner_subset,Verified from local Comtrade fields: imports use CIF value as primaryValue.,requires_historical_metadata_review,"Official UN Comtrade reference metadata identifies reporter code 620 as Portugal, but the reference endpoint does not specify whether the 1962-1973 reporter territory is mainland Portugal, mainland plus adjacent islands, metropolitan Portugal, or another customs/statistical area.",7,"UN Comtrade reference Reporters.json; INE Estatisticas do Comercio Externo 1962, Volume I; INE Estatisticas do Comercio Externo 1962, Volume I; INE Estatisticas do Comercio Externo 1969, Volume I; INE Estatisticas do Comercio Externo 1973, Volume I; INE Estatisticas do Comercio Externo 1960-1973, Volume I of each year; INE and UN Comtrade 1962 world totals"
1965,X,620,True,S1,False,S1,24;508;624;626,4,576399168.0,423446821.0,0.7346416242571676,152952347.0,selected_partner_subset,Verified from local Comtrade fields: exports use FOB value as primaryValue.,requires_historical_metadata_review,"Official UN Comtrade reference metadata identifies reporter code 620 as Portugal, but the reference endpoint does not specify whether the 1962-1973 reporter territory is mainland Portugal, mainland plus adjacent islands, metropolitan Portugal, or another customs/statistical area.",7,"UN Comtrade reference Reporters.json; INE Estatisticas do Comercio Externo 1962, Volume I; INE Estatisticas do Comercio Externo 1962, Volume I; INE Estatisticas do Comercio Externo 1969, Volume I; INE Estatisticas do Comercio Externo 1973, Volume I; INE Estatisticas do Comercio Externo 1960-1973, Volume I of each year; INE and UN Comtrade 1962 world totals"
1965,M,620,True,S1,False,S1,24;508;624;626,4,923515840.0,652453666.0,0.7064888740836324,271062174.0,selected_partner_subset,Verified from local Comtrade fields: imports use CIF value as primaryValue.,requires_historical_metadata_review,"Official UN Comtrade reference metadata identifies reporter code 620 as Portugal, but the reference endpoint does not specify whether the 1962-1973 reporter territory is mainland Portugal, mainland plus adjacent islands, metropolitan Portugal, or another customs/statistical area.",7,"UN Comtrade reference Reporters.json; INE Estatisticas do Comercio Externo 1962, Volume I; INE Estatisticas do Comercio Externo 1962, Volume I; INE Estatisticas do Comercio Externo 1969, Volume I; INE Estatisticas do Comercio Externo 1973, Volume I; INE Estatisticas do Comercio Externo 1960-1973, Volume I of each year; INE and UN Comtrade 1962 world totals"
1966,X,620,True,S1,False,S1,24;508;624;626,4,619503488.0,447204440.0,0.7218755804648512,172299048.0,selected_partner_subset,Verified from local Comtrade fields: exports use FOB value as primaryValue.,requires_historical_metadata_review,"Official UN Comtrade reference metadata identifies reporter code 620 as Portugal, but the reference endpoint does not specify whether the 1962-1973 reporter territory is mainland Portugal, mainland plus adjacent islands, metropolitan Portugal, or another customs/statistical area.",7,"UN Comtrade reference Reporters.json; INE Estatisticas do Comercio Externo 1962, Volume I; INE Estatisticas do Comercio Externo 1962, Volume I; INE Estatisticas do Comercio Externo 1969, Volume I; INE Estatisticas do Comercio Externo 1973, Volume I; INE Estatisticas do Comercio Externo 1960-1973, Volume I of each year; INE and UN Comtrade 1962 world totals"
1966,M,620,True,S1,False,S1,24;508;624;626,4,1022796800.0,732717877.0,0.7163865559610667,290078923.0,selected_partner_subset,Verified from local Comtrade fields: imports use CIF value as primaryValue.,requires_historical_metadata_review,"Official UN Comtrade reference metadata identifies reporter code 620 as Portugal, but the reference endpoint does not specify whether the 1962-1973 reporter territory is mainland Portugal, mainland plus adjacent islands, metropolitan Portugal, or another customs/statistical area.",7,"UN Comtrade reference Reporters.json; INE Estatisticas do Comercio Externo 1962, Volume I; INE Estatisticas do Comercio Externo 1962, Volume I; INE Estatisticas do Comercio Externo 1969, Volume I; INE Estatisticas do Comercio Externo 1973, Volume I; INE Estatisticas do Comercio Externo 1960-1973, Volume I of each year; INE and UN Comtrade 1962 world totals"
