year,flow_code,classification_code,entity_id,entity_label,requested_partner_code,historical_trade_area,returned,snapshot_requested,snapshot_partner_codes,snapshot_partner_codes_sha256,configured_partner_codes_sha256,snapshot_status,mapping_status,mapping_source,resolution
1962,X,S1,cabo_verde,Cabo Verde,132,Cabo Verde,False,True,"0,24,40,58,132,208,246,251,280,352,372,380,446,508,528,579,624,626,678,752,757,826",3e19e2fd1467e3d2c9f3cd8894aa60ce9fa3f88335ad2ad1f594a389b63c9be0,3e19e2fd1467e3d2c9f3cd8894aa60ce9fa3f88335ad2ad1f594a389b63c9be0,current_against_configuration,direct_area_match,un_comtrade_partner_areas_reference,not_returned_by_api
1962,X,S1,macao,Macao,446,Macao,False,True,"0,24,40,58,132,208,246,251,280,352,372,380,446,508,528,579,624,626,678,752,757,826",3e19e2fd1467e3d2c9f3cd8894aa60ce9fa3f88335ad2ad1f594a389b63c9be0,3e19e2fd1467e3d2c9f3cd8894aa60ce9fa3f88335ad2ad1f594a389b63c9be0,current_against_configuration,direct_area_match,un_comtrade_partner_areas_reference,not_returned_by_api
1962,X,S1,sao_tome_principe,Sao Tome and Principe,678,Sao Tome and Principe,False,True,"0,24,40,58,132,208,246,251,280,352,372,380,446,508,528,579,624,626,678,752,757,826",3e19e2fd1467e3d2c9f3cd8894aa60ce9fa3f88335ad2ad1f594a389b63c9be0,3e19e2fd1467e3d2c9f3cd8894aa60ce9fa3f88335ad2ad1f594a389b63c9be0,current_against_configuration,direct_area_match,un_comtrade_partner_areas_reference,not_returned_by_api
1962,X,S2,angola,Angola,24,Angola,False,True,"0,24,40,58,132,208,246,251,280,352,372,380,446,508,528,579,624,626,678,752,757,826",3e19e2fd1467e3d2c9f3cd8894aa60ce9fa3f88335ad2ad1f594a389b63c9be0,3e19e2fd1467e3d2c9f3cd8894aa60ce9fa3f88335ad2ad1f594a389b63c9be0,current_against_configuration,direct_area_match,un_comtrade_partner_areas_reference,not_returned_by_api
1962,X,S2,austria,Austria,40,Austria,False,True,"0,24,40,58,132,208,246,251,280,352,372,380,446,508,528,579,624,626,678,752,757,826",3e19e2fd1467e3d2c9f3cd8894aa60ce9fa3f88335ad2ad1f594a389b63c9be0,3e19e2fd1467e3d2c9f3cd8894aa60ce9fa3f88335ad2ad1f594a389b63c9be0,current_against_configuration,direct_area_match,un_comtrade_partner_areas_reference,not_returned_by_api
1962,X,S2,belgium_luxembourg,Belgium-Luxembourg,58,Belgium-Luxembourg (...1998),False,True,"0,24,40,58,132,208,246,251,280,352,372,380,446,508,528,579,624,626,678,752,757,826",3e19e2fd1467e3d2c9f3cd8894aa60ce9fa3f88335ad2ad1f594a389b63c9be0,3e19e2fd1467e3d2c9f3cd8894aa60ce9fa3f88335ad2ad1f594a389b63c9be0,current_against_configuration,historical_trade_area_match,un_comtrade_partner_areas_reference,not_returned_by_api
1962,X,S2,cabo_verde,Cabo Verde,132,Cabo Verde,False,True,"0,24,40,58,132,208,246,251,280,352,372,380,446,508,528,579,624,626,678,752,757,826",3e19e2fd1467e3d2c9f3cd8894aa60ce9fa3f88335ad2ad1f594a389b63c9be0,3e19e2fd1467e3d2c9f3cd8894aa60ce9fa3f88335ad2ad1f594a389b63c9be0,current_against_configuration,direct_area_match,un_comtrade_partner_areas_reference,not_returned_by_api
1962,X,S2,denmark,Denmark,208,Denmark,False,True,"0,24,40,58,132,208,246,251,280,352,372,380,446,508,528,579,624,626,678,752,757,826",3e19e2fd1467e3d2c9f3cd8894aa60ce9fa3f88335ad2ad1f594a389b63c9be0,3e19e2fd1467e3d2c9f3cd8894aa60ce9fa3f88335ad2ad1f594a389b63c9be0,current_against_configuration,direct_area_match,un_comtrade_partner_areas_reference,not_returned_by_api
1962,X,S2,finland,Finland,246,Finland,False,True,"0,24,40,58,132,208,246,251,280,352,372,380,446,508,528,579,624,626,678,752,757,826",3e19e2fd1467e3d2c9f3cd8894aa60ce9fa3f88335ad2ad1f594a389b63c9be0,3e19e2fd1467e3d2c9f3cd8894aa60ce9fa3f88335ad2ad1f594a389b63c9be0,current_against_configuration,direct_area_match,un_comtrade_partner_areas_reference,not_returned_by_api
1962,X,S2,france,France,251,France customs area,False,True,"0,24,40,58,132,208,246,251,280,352,372,380,446,508,528,579,624,626,678,752,757,826",3e19e2fd1467e3d2c9f3cd8894aa60ce9fa3f88335ad2ad1f594a389b63c9be0,3e19e2fd1467e3d2c9f3cd8894aa60ce9fa3f88335ad2ad1f594a389b63c9be0,current_against_configuration,customs_area_match,un_comtrade_customs_area_help,not_returned_by_api
