flow_code,partner_group,value_1962_usd,value_1973_usd,absolute_change_usd,relative_change,share_1962,share_1973,share_point_change,source_quality
M,colonies,73792234.0,309642994.0,235850760.0,3.1961460876763805,0.3236460552841077,0.2687373707881551,-0.0549086844959526,diagnostic_selected_partners_not_world_denominator
M,eec_current_membership,40850044.0,634313255.0,593463211.0,14.52784753426459,0.17916459337417856,0.5505168200407486,0.3713522266665701,diagnostic_selected_partners_not_world_denominator
M,efta_current_membership,111855837.0,208257874.0,96402037.0,0.8618418098288425,0.49058957078806076,0.18074580917109623,-0.30984376161696453,diagnostic_selected_partners_not_world_denominator
M,requested_unclassified_partner,1269542.0,,,,0.005568096235133587,,,diagnostic_selected_partners_not_world_denominator
M,western_europe_fixed_sample,235227.0,,,,0.0010316843185194096,,,diagnostic_selected_partners_not_world_denominator
X,colonies,83098353.0,276364569.0,193266216.0,2.3257526656394742,0.46341762572547696,0.2597881970077482,-0.20362942871772877,diagnostic_selected_partners_not_world_denominator
X,eec_current_membership,28089806.0,616696935.0,588607129.0,20.954474694485253,0.15664944891999552,0.5797073967316501,0.4230579478116545,diagnostic_selected_partners_not_world_denominator
X,efta_current_membership,67250336.0,170745752.0,103495416.0,1.5389576046133062,0.37503740944613634,0.16050440626060178,-0.21453300318553456,diagnostic_selected_partners_not_world_denominator
X,requested_unclassified_partner,44516.0,,,,0.0002482540060306049,,,diagnostic_selected_partners_not_world_denominator
X,western_europe_fixed_sample,833330.0,,,,0.004647261902360589,,,diagnostic_selected_partners_not_world_denominator
