year,flow_code,selected_group_hhi
1962,M,0.3775684046892685
1962,X,0.37997197024005475
1963,M,0.36099380674538806
1963,X,0.3918509294428526
1964,M,0.3589391390567538
1964,X,0.407441325070905
1965,M,0.36093614738157115
1965,X,0.4084316759263473
1966,M,0.3614223002008537
1966,X,0.40917841503930696
1967,M,0.35329233983225805
1967,X,0.43293170650609003
1968,M,0.35726023617210395
1968,X,0.4361421654165566
1969,M,0.35883290313956995
1969,X,0.4370278793794586
1970,M,0.3757310687288696
1970,X,0.42120478962604296
1971,M,0.37522311627737115
1971,X,0.43519545037617663
1972,M,0.3766549573594926
1972,X,0.4796257731081375
1973,M,0.40795759113882274
1973,X,0.4293122375589916
