year,flow_code,partner_group,trade_value_usd,source_quality
1962,M,colonies,73792234.0,diagnostic_selected_partners_not_world_denominator
1962,M,eec_current_membership,40850044.0,diagnostic_selected_partners_not_world_denominator
1962,M,efta_current_membership,111855837.0,diagnostic_selected_partners_not_world_denominator
1962,M,requested_unclassified_partner,1269542.0,diagnostic_selected_partners_not_world_denominator
1962,M,western_europe_fixed_sample,235227.0,diagnostic_selected_partners_not_world_denominator
1962,X,colonies,83098353.0,diagnostic_selected_partners_not_world_denominator
1962,X,eec_current_membership,28089806.0,diagnostic_selected_partners_not_world_denominator
1962,X,efta_current_membership,67250336.0,diagnostic_selected_partners_not_world_denominator
1962,X,requested_unclassified_partner,44516.0,diagnostic_selected_partners_not_world_denominator
1962,X,western_europe_fixed_sample,833330.0,diagnostic_selected_partners_not_world_denominator
1963,M,colonies,93923476.0,diagnostic_selected_partners_not_world_denominator
1963,M,eec_current_membership,50329912.0,diagnostic_selected_partners_not_world_denominator
1963,M,efta_current_membership,115240485.0,diagnostic_selected_partners_not_world_denominator
1963,M,requested_unclassified_partner,1395998.0,diagnostic_selected_partners_not_world_denominator
1963,M,western_europe_fixed_sample,358948.0,diagnostic_selected_partners_not_world_denominator
1963,X,colonies,99195395.0,diagnostic_selected_partners_not_world_denominator
1963,X,eec_current_membership,27813570.0,diagnostic_selected_partners_not_world_denominator
1963,X,efta_current_membership,82845548.0,diagnostic_selected_partners_not_world_denominator
1963,X,requested_unclassified_partner,44133.0,diagnostic_selected_partners_not_world_denominator
1963,X,western_europe_fixed_sample,1300329.0,diagnostic_selected_partners_not_world_denominator
1964,M,colonies,115615718.0,diagnostic_selected_partners_not_world_denominator
1964,M,eec_current_membership,57383756.0,diagnostic_selected_partners_not_world_denominator
1964,M,efta_current_membership,134554637.0,diagnostic_selected_partners_not_world_denominator
1964,M,requested_unclassified_partner,3327267.0,diagnostic_selected_partners_not_world_denominator
1964,M,western_europe_fixed_sample,395052.0,diagnostic_selected_partners_not_world_denominator
1964,X,colonies,128641990.0,diagnostic_selected_partners_not_world_denominator
1964,X,eec_current_membership,29153135.0,diagnostic_selected_partners_not_world_denominator
1964,X,efta_current_membership,118653536.0,diagnostic_selected_partners_not_world_denominator
1964,X,requested_unclassified_partner,240899.0,diagnostic_selected_partners_not_world_denominator
1964,X,western_europe_fixed_sample,1270342.0,diagnostic_selected_partners_not_world_denominator
1965,M,colonies,126958500.0,diagnostic_selected_partners_not_world_denominator
1965,M,eec_current_membership,70439448.0,diagnostic_selected_partners_not_world_denominator
1965,M,efta_current_membership,161801463.0,diagnostic_selected_partners_not_world_denominator
1965,M,requested_unclassified_partner,1861491.0,diagnostic_selected_partners_not_world_denominator
1965,M,western_europe_fixed_sample,818754.0,diagnostic_selected_partners_not_world_denominator
1965,X,colonies,143866044.0,diagnostic_selected_partners_not_world_denominator
1965,X,eec_current_membership,32406553.0,diagnostic_selected_partners_not_world_denominator
1965,X,efta_current_membership,142555805.0,diagnostic_selected_partners_not_world_denominator
1965,X,requested_unclassified_partner,536443.0,diagnostic_selected_partners_not_world_denominator
1965,X,western_europe_fixed_sample,1593620.0,diagnostic_selected_partners_not_world_denominator
1966,M,colonies,137102531.0,diagnostic_selected_partners_not_world_denominator
1966,M,eec_current_membership,83374512.0,diagnostic_selected_partners_not_world_denominator
