year,flow_code,partner_group,commodity_code_source,trade_value_usd,product_share_within_group,source_quality
1962,M,colonies,TOTAL,73792234.0,1.0,diagnostic_aggregate_total_only_no_product_detail
1962,M,eec_current,TOTAL,40850044.0,1.0,diagnostic_aggregate_total_only_no_product_detail
1962,M,efta_current,TOTAL,111855837.0,1.0,diagnostic_aggregate_total_only_no_product_detail
1962,M,requested_unclassified_partner,TOTAL,1504769.0,1.0,diagnostic_aggregate_total_only_no_product_detail
1962,X,colonies,TOTAL,83098353.0,1.0,diagnostic_aggregate_total_only_no_product_detail
1962,X,eec_current,TOTAL,28089806.0,1.0,diagnostic_aggregate_total_only_no_product_detail
1962,X,efta_current,TOTAL,67250336.0,1.0,diagnostic_aggregate_total_only_no_product_detail
1962,X,requested_unclassified_partner,TOTAL,877846.0,1.0,diagnostic_aggregate_total_only_no_product_detail
1963,M,colonies,TOTAL,93923476.0,1.0,diagnostic_aggregate_total_only_no_product_detail
1963,M,eec_current,TOTAL,50329912.0,1.0,diagnostic_aggregate_total_only_no_product_detail
1963,M,efta_current,TOTAL,115240485.0,1.0,diagnostic_aggregate_total_only_no_product_detail
1963,M,requested_unclassified_partner,TOTAL,1754946.0,1.0,diagnostic_aggregate_total_only_no_product_detail
1963,X,colonies,TOTAL,99195395.0,1.0,diagnostic_aggregate_total_only_no_product_detail
1963,X,eec_current,TOTAL,27813570.0,1.0,diagnostic_aggregate_total_only_no_product_detail
1963,X,efta_current,TOTAL,82845548.0,1.0,diagnostic_aggregate_total_only_no_product_detail
1963,X,requested_unclassified_partner,TOTAL,1344462.0,1.0,diagnostic_aggregate_total_only_no_product_detail
1964,M,colonies,TOTAL,115615718.0,1.0,diagnostic_aggregate_total_only_no_product_detail
1964,M,eec_current,TOTAL,57383756.0,1.0,diagnostic_aggregate_total_only_no_product_detail
1964,M,efta_current,TOTAL,134554637.0,1.0,diagnostic_aggregate_total_only_no_product_detail
1964,M,requested_unclassified_partner,TOTAL,3722319.0,1.0,diagnostic_aggregate_total_only_no_product_detail
