audit_item,status,source_id,statistical_reference_year,publication_year,volume,local_filename,sha256,pages,catalogue_url,original_url,page_reference,table_reference,evidence_reference,notes
source_identity,verified,ine_external_trade_yearbook,1970,1971,all,,,813.0,https://www.ine.pt/xurl/pub/260534859,,catalogue page,,official INE catalogue page,Official catalogue title is Estatisticas do Comercio Externo - 1970; issue year 1971.
volume_i_file,verified,ine_external_trade_yearbook,1970,1971,I,ine_external_trade_1970_volume_i.pdf,465a1d41cc1ebff60c479337d6214100a2c2ebf3b1cad16b3e609408a890d454,545.0,https://www.ine.pt/xurl/pub/260534859,https://www.ine.pt/ngt_server/attachfileu.jsp?look_parentBoui=260535028&att_display=n&att_download=y,all pages,,HTTP 200 PDF attachment filename ECE1970_I.pdf,Preserved locally from official INE attachment endpoint.
volume_ii_file,verified,ine_external_trade_yearbook,1970,1971,II,ine_external_trade_1970_volume_ii.pdf,168f1d0dbe0de4bcac8c721ab99a6d8450d3fa22336f43cbfaabce2933d56cc8,268.0,https://www.ine.pt/xurl/pub/260534859,https://www.ine.pt/ngt_server/attachfileu.jsp?look_parentBoui=260535135&att_display=n&att_download=y,all pages,,HTTP 200 PDF attachment filename ECE1970_II.pdf,Preserved locally from official INE attachment endpoint.
aggregate_table_discovery,page_candidates_located_pending_transcription,ine_external_trade_yearbook,1970,1971,I,ine_external_trade_1970_volume_i.pdf,465a1d41cc1ebff60c479337d6214100a2c2ebf3b1cad16b3e609408a890d454,,https://www.ine.pt/xurl/pub/260534859,,Volume I PDF page 8; Volume I PDF page 18; Volume I PDF page 24; Volume I PDF page 24; Volume I PDF page 25; Volume I PDF page 25; Volume I PDF page 25,Quadro I/II/III aggregate candidates,visual inspection of rendered local PDF pages,"Page candidates for benchmark aggregates have been located, but no values are validated until two independent transcription passes and adjudication exist."
methodology_notes,located,ine_external_trade_yearbook,1970,1971,I,ine_external_trade_1970_volume_i.pdf,465a1d41cc1ebff60c479337d6214100a2c2ebf3b1cad16b3e609408a890d454,,https://www.ine.pt/xurl/pub/260534859,,Volume I PDF page 8,Nota explicativa / Nota introdutoria,visual inspection of rendered local PDF pages,Special-trade scope and source-method notes located for controlled transcription.
territorial_list,located,ine_external_trade_yearbook,1970,1971,I,ine_external_trade_1970_volume_i.pdf,465a1d41cc1ebff60c479337d6214100a2c2ebf3b1cad16b3e609408a890d454,,https://www.ine.pt/xurl/pub/260534859,,Volume I PDF page 18,Lista de paises e territorios estatisticos,visual inspection of rendered local PDF pages,Source-specific historical country/statistical-territory identifiers are visible.
world_imports,page_candidate_located_pending_transcription,ine_external_trade_yearbook,1970,1971,I,ine_external_trade_1970_volume_i.pdf,465a1d41cc1ebff60c479337d6214100a2c2ebf3b1cad16b3e609408a890d454,,https://www.ine.pt/xurl/pub/260534859,,Volume I PDF page 24,Quadro n.o 1 - Movimento comercial por seccoes da CMCE,visual inspection of rendered local PDF pages,TOTAL row located; value not transcribed or validated.
world_exports,page_candidate_located_pending_transcription,ine_external_trade_yearbook,1970,1971,I,ine_external_trade_1970_volume_i.pdf,465a1d41cc1ebff60c479337d6214100a2c2ebf3b1cad16b3e609408a890d454,,https://www.ine.pt/xurl/pub/260534859,,Volume I PDF page 24,Quadro n.o 1 - Movimento comercial por seccoes da CMCE,visual inspection of rendered local PDF pages,TOTAL row located; value not transcribed or validated.
overseas_imports,page_candidate_located_pending_transcription,ine_external_trade_yearbook,1970,1971,I,ine_external_trade_1970_volume_i.pdf,465a1d41cc1ebff60c479337d6214100a2c2ebf3b1cad16b3e609408a890d454,,https://www.ine.pt/xurl/pub/260534859,,Volume I PDF page 25,Quadro n.o 2 - Comercio especial por paises e territorios estatisticos,visual inspection of rendered local PDF pages,Overseas/Ultramar aggregate row located; value not transcribed or validated.
overseas_exports,page_candidate_located_pending_transcription,ine_external_trade_yearbook,1970,1971,I,ine_external_trade_1970_volume_i.pdf,465a1d41cc1ebff60c479337d6214100a2c2ebf3b1cad16b3e609408a890d454,,https://www.ine.pt/xurl/pub/260534859,,Volume I PDF page 25,Quadro n.o 2 - Comercio especial por paises e territorios estatisticos,visual inspection of rendered local PDF pages,Overseas/Ultramar aggregate row located; value not transcribed or validated.
eec_efta_group_rows,aggregate_rows_located_pending_transcription,ine_external_trade_yearbook,1970,1971,I,ine_external_trade_1970_volume_i.pdf,465a1d41cc1ebff60c479337d6214100a2c2ebf3b1cad16b3e609408a890d454,,https://www.ine.pt/xurl/pub/260534859,,Volume I PDF page 25,Quadro n.o 2 - CEE and EFTA aggregate rows,visual inspection of rendered local PDF pages,Quadro n.o 2 includes aggregate rows for Da C.E.E. and Da E.F.T.A.; values remain pending two-pass transcription.
transcription_status,not_started,ine_external_trade_yearbook,1970,1971,all,,,,https://www.ine.pt/xurl/pub/260534859,,,,manual workflow not started,No aggregate values from this source are validated until two independent transcription passes and discrepancy resolution exist.
