year,flow,component_group,aggregate_value,component_sum,absolute_residual,relative_residual,expected_partner_count,observed_partner_count,status,note
1960,M,colonial_overseas_territories,2253156000.0,2253156000.0,0.0,0.0,8,8,exact,Printed Ultramar aggregate compared with the individually printed overseas-territory rows transcribed from the same table.
1960,M,efta_eec_fixed_partner_sample_ine_benchmark,,9043432000.0,,,11,10,component_sum_only_no_printed_aggregate_incomplete_sample,"The source prints no constant-composition European aggregate, so the benchmark is the component sum itself and only sample completeness can be checked."
1960,X,colonial_overseas_territories,2406047000.0,2406047000.0,0.0,0.0,8,8,exact,Printed Ultramar aggregate compared with the individually printed overseas-territory rows transcribed from the same table.
1960,X,efta_eec_fixed_partner_sample_ine_benchmark,,3927359000.0,,,11,10,component_sum_only_no_printed_aggregate_incomplete_sample,"The source prints no constant-composition European aggregate, so the benchmark is the component sum itself and only sample completeness can be checked."
1962,M,colonial_overseas_territories,2122236000.0,2121516000.0,720000.0,0.00033926481314990416,8,8,residual_documented,Printed Ultramar aggregate compared with the individually printed overseas-territory rows transcribed from the same table.
1962,M,efta_eec_fixed_partner_sample_ine_benchmark,,10027419000.0,,,11,11,component_sum_only_no_printed_aggregate,"The source prints no constant-composition European aggregate, so the benchmark is the component sum itself and only sample completeness can be checked."
1962,X,colonial_overseas_territories,2390852000.0,2390852000.0,0.0,0.0,8,8,exact,Printed Ultramar aggregate compared with the individually printed overseas-territory rows transcribed from the same table.
1962,X,efta_eec_fixed_partner_sample_ine_benchmark,,4626277000.0,,,11,11,component_sum_only_no_printed_aggregate,"The source prints no constant-composition European aggregate, so the benchmark is the component sum itself and only sample completeness can be checked."
1964,M,colonial_overseas_territories,3324969000.0,3325069000.0,-100000.0,-3.0075468372787836e-05,8,7,residual_documented_incomplete_sample,Printed Ultramar aggregate compared with the individually printed overseas-territory rows transcribed from the same table.
1964,M,efta_eec_fixed_partner_sample_ine_benchmark,,12113615000.0,,,11,11,component_sum_only_no_printed_aggregate,"The source prints no constant-composition European aggregate, so the benchmark is the component sum itself and only sample completeness can be checked."
1964,X,colonial_overseas_territories,3706437000.0,3706437000.0,0.0,0.0,8,7,exact_incomplete_sample,Printed Ultramar aggregate compared with the individually printed overseas-territory rows transcribed from the same table.
1964,X,efta_eec_fixed_partner_sample_ine_benchmark,,6806523000.0,,,11,11,component_sum_only_no_printed_aggregate,"The source prints no constant-composition European aggregate, so the benchmark is the component sum itself and only sample completeness can be checked."
1965,M,colonial_overseas_territories,3651273000.0,3651279000.0,-6000.0,-1.643262500503249e-06,8,8,residual_documented,Printed Ultramar aggregate compared with the individually printed overseas-territory rows transcribed from the same table.
1965,M,efta_eec_fixed_partner_sample_ine_benchmark,,14959620000.0,,,11,11,component_sum_only_no_printed_aggregate,"The source prints no constant-composition European aggregate, so the benchmark is the component sum itself and only sample completeness can be checked."
1965,X,colonial_overseas_territories,4140029000.0,4140029000.0,0.0,0.0,8,7,exact_incomplete_sample,Printed Ultramar aggregate compared with the individually printed overseas-territory rows transcribed from the same table.
1965,X,efta_eec_fixed_partner_sample_ine_benchmark,,7887022000.0,,,11,11,component_sum_only_no_printed_aggregate,"The source prints no constant-composition European aggregate, so the benchmark is the component sum itself and only sample completeness can be checked."
1966,M,colonial_overseas_territories,3942653000.0,3942653000.0,0.0,0.0,8,7,exact_incomplete_sample,Printed Ultramar aggregate compared with the individually printed overseas-territory rows transcribed from the same table.
1966,M,efta_eec_fixed_partner_sample_ine_benchmark,,16837519000.0,,,11,11,component_sum_only_no_printed_aggregate,"The source prints no constant-composition European aggregate, so the benchmark is the component sum itself and only sample completeness can be checked."
1966,X,colonial_overseas_territories,4197093000.0,4197093000.0,0.0,0.0,8,7,exact_incomplete_sample,Printed Ultramar aggregate compared with the individually printed overseas-territory rows transcribed from the same table.
1966,X,efta_eec_fixed_partner_sample_ine_benchmark,,8465614000.0,,,11,11,component_sum_only_no_printed_aggregate,"The source prints no constant-composition European aggregate, so the benchmark is the component sum itself and only sample completeness can be checked."
1967,M,colonial_overseas_territories,4352301000.0,4352301000.0,0.0,0.0,8,7,exact_incomplete_sample,Printed Ultramar aggregate compared with the individually printed overseas-territory rows transcribed from the same table.
1967,M,efta_eec_fixed_partner_sample_ine_benchmark,,17163619000.0,,,11,11,component_sum_only_no_printed_aggregate,"The source prints no constant-composition European aggregate, so the benchmark is the component sum itself and only sample completeness can be checked."
1967,X,colonial_overseas_territories,4917434000.0,4917434000.0,0.0,0.0,8,7,exact_incomplete_sample,Printed Ultramar aggregate compared with the individually printed overseas-territory rows transcribed from the same table.
1967,X,efta_eec_fixed_partner_sample_ine_benchmark,,10068120000.0,,,11,11,component_sum_only_no_printed_aggregate,"The source prints no constant-composition European aggregate, so the benchmark is the component sum itself and only sample completeness can be checked."
1968,M,colonial_overseas_territories,5342775000.0,5342822000.0,-47000.0,-8.796926690717838e-06,8,7,residual_documented_incomplete_sample,Printed Ultramar aggregate compared with the individually printed overseas-territory rows transcribed from the same table.
