year,flow_code,source,source_value,source_currency,nominal_conversion_method,coverage_definition,confidence_status,explanatory_note
1960,M,CEPII TRADHIST,,,,,missing_source,No local structured source table is available yet.
1960,M,EFTA,,,,,missing_source,No local structured source table is available yet.
1960,M,INE,545576382.6086956,USD,source_b_original_value / 28.75; registered 1960 PTE/USD rate,INE special-trade World total,usable_with_conversion_and_territorial_caveat,Validated double-entry INE aggregate; converted only for diagnostic comparison pending territorial-definition evidence.
1960,M,OECD,,,,,missing_source,No local structured source table is available yet.
1960,X,CEPII TRADHIST,,,,,missing_source,No local structured source table is available yet.
1960,X,EFTA,,,,,missing_source,No local structured source table is available yet.
1960,X,INE,327239269.5652174,USD,source_b_original_value / 28.75; registered 1960 PTE/USD rate,INE special-trade World total,usable_with_conversion_and_territorial_caveat,Validated double-entry INE aggregate; converted only for diagnostic comparison pending territorial-definition evidence.
1960,X,OECD,,,,,missing_source,No local structured source table is available yet.
1961,M,CEPII TRADHIST,,,,,missing_source,No local structured source table is available yet.
1961,M,EFTA,,,,,missing_source,No local structured source table is available yet.
1961,M,INE,656248660.8695652,USD,source_b_original_value / 28.75; registered 1961 PTE/USD rate,INE special-trade World total,usable_with_conversion_and_territorial_caveat,Validated double-entry INE aggregate; converted only for diagnostic comparison pending territorial-definition evidence.
1961,M,OECD,,,,,missing_source,No local structured source table is available yet.
1961,X,CEPII TRADHIST,,,,,missing_source,No local structured source table is available yet.
1961,X,EFTA,,,,,missing_source,No local structured source table is available yet.
1961,X,INE,326014817.3913044,USD,source_b_original_value / 28.75; registered 1961 PTE/USD rate,INE special-trade World total,usable_with_conversion_and_territorial_caveat,Validated double-entry INE aggregate; converted only for diagnostic comparison pending territorial-definition evidence.
1961,X,OECD,,,,,missing_source,No local structured source table is available yet.
1962,M,CEPII TRADHIST,,,,,missing_source,No local structured source table is available yet.
1962,M,EFTA,,,,,missing_source,No local structured source table is available yet.
1962,M,INE,585375130.4347826,USD,source_b_original_value / 28.75; registered 1962 PTE/USD rate,INE special-trade World total,usable_with_conversion_and_territorial_caveat,Validated double-entry INE aggregate; converted only for diagnostic comparison pending territorial-definition evidence.
1962,M,OECD,,,,,missing_source,No local structured source table is available yet.
1962,M,UN Comtrade,585345024.0,USD,source_reported_usd,"Portugal reporter code 620, World partner total",usable_with_territorial_caveat,Benchmark row; territorial definition still under review.
1962,X,CEPII TRADHIST,,,,,missing_source,No local structured source table is available yet.
1962,X,EFTA,,,,,missing_source,No local structured source table is available yet.
1962,X,INE,369802747.8260869,USD,source_b_original_value / 28.75; registered 1962 PTE/USD rate,INE special-trade World total,usable_with_conversion_and_territorial_caveat,Validated double-entry INE aggregate; converted only for diagnostic comparison pending territorial-definition evidence.
1962,X,OECD,,,,,missing_source,No local structured source table is available yet.
1962,X,UN Comtrade,369792288.0,USD,source_reported_usd,"Portugal reporter code 620, World partner total",usable_with_territorial_caveat,Benchmark row; territorial definition still under review.
1963,M,CEPII TRADHIST,,,,,missing_source,No local structured source table is available yet.
1963,M,EFTA,,,,,missing_source,No local structured source table is available yet.
1963,M,INE,656218156.5217391,USD,source_b_original_value / 28.75; registered 1963 PTE/USD rate,INE special-trade World total,usable_with_conversion_and_territorial_caveat,Validated double-entry INE aggregate; converted only for diagnostic comparison pending territorial-definition evidence.
1963,M,OECD,,,,,missing_source,No local structured source table is available yet.
1963,M,UN Comtrade,656176256.0,USD,source_reported_usd,"Portugal reporter code 620, World partner total",usable_with_territorial_caveat,Benchmark row; territorial definition still under review.
1963,X,CEPII TRADHIST,,,,,missing_source,No local structured source table is available yet.
1963,X,EFTA,,,,,missing_source,No local structured source table is available yet.
1963,X,INE,418231791.3043478,USD,source_b_original_value / 28.75; registered 1963 PTE/USD rate,INE special-trade World total,usable_with_conversion_and_territorial_caveat,Validated double-entry INE aggregate; converted only for diagnostic comparison pending territorial-definition evidence.
1963,X,OECD,,,,,missing_source,No local structured source table is available yet.
1963,X,UN Comtrade,418157120.0,USD,source_reported_usd,"Portugal reporter code 620, World partner total",usable_with_territorial_caveat,Benchmark row; territorial definition still under review.
1964,M,CEPII TRADHIST,,,,,missing_source,No local structured source table is available yet.
1964,M,EFTA,,,,,missing_source,No local structured source table is available yet.
1964,M,INE,776345460.8695652,USD,source_b_original_value / 28.75; registered 1964 PTE/USD rate,INE special-trade World total,usable_with_conversion_and_territorial_caveat,Validated double-entry INE aggregate; converted only for diagnostic comparison pending territorial-definition evidence.
1964,M,OECD,,,,,missing_source,No local structured source table is available yet.
1964,M,UN Comtrade,776289984.0,USD,source_reported_usd,"Portugal reporter code 620, World partner total",usable_with_territorial_caveat,Benchmark row; territorial definition still under review.
1964,X,CEPII TRADHIST,,,,,missing_source,No local structured source table is available yet.
1964,X,EFTA,,,,,missing_source,No local structured source table is available yet.
1964,X,INE,515852800.0,USD,source_b_original_value / 28.75; registered 1964 PTE/USD rate,INE special-trade World total,usable_with_conversion_and_territorial_caveat,Validated double-entry INE aggregate; converted only for diagnostic comparison pending territorial-definition evidence.
1964,X,OECD,,,,,missing_source,No local structured source table is available yet.
1964,X,UN Comtrade,515699840.0,USD,source_reported_usd,"Portugal reporter code 620, World partner total",usable_with_territorial_caveat,Benchmark row; territorial definition still under review.
1965,M,CEPII TRADHIST,,,,,missing_source,No local structured source table is available yet.
1965,M,EFTA,,,,,missing_source,No local structured source table is available yet.
1965,M,INE,923573669.5652174,USD,source_b_original_value / 28.75; registered 1965 PTE/USD rate,INE special-trade World total,usable_with_conversion_and_territorial_caveat,Validated double-entry INE aggregate; converted only for diagnostic comparison pending territorial-definition evidence.
1965,M,OECD,,,,,missing_source,No local structured source table is available yet.
1965,M,UN Comtrade,923515840.0,USD,source_reported_usd,"Portugal reporter code 620, World partner total",usable_with_territorial_caveat,Benchmark row; territorial definition still under review.
1965,X,CEPII TRADHIST,,,,,missing_source,No local structured source table is available yet.
1965,X,EFTA,,,,,missing_source,No local structured source table is available yet.
1965,X,INE,576439547.826087,USD,source_b_original_value / 28.75; registered 1965 PTE/USD rate,INE special-trade World total,usable_with_conversion_and_territorial_caveat,Validated double-entry INE aggregate; converted only for diagnostic comparison pending territorial-definition evidence.
1965,X,OECD,,,,,missing_source,No local structured source table is available yet.
1965,X,UN Comtrade,576399168.0,USD,source_reported_usd,"Portugal reporter code 620, World partner total",usable_with_territorial_caveat,Benchmark row; territorial definition still under review.
1966,M,CEPII TRADHIST,,,,,missing_source,No local structured source table is available yet.
1966,M,EFTA,,,,,missing_source,No local structured source table is available yet.
1966,M,INE,1022832869.5652174,USD,source_b_original_value / 28.75; registered 1966 PTE/USD rate,INE special-trade World total,usable_with_conversion_and_territorial_caveat,Validated double-entry INE aggregate; converted only for diagnostic comparison pending territorial-definition evidence.
