dataset_path,column_name,data_type,unit,description,source_status,analytical_use
data/interim/live/efta_policy_dataset.csv,year,object,year,calendar year,"blocked until EFTA sources, tariff rows, and mappings are acquired",no tariff exposure estimates are inferred from placeholder rows
data/interim/live/efta_policy_dataset.csv,source_classification,object,code,source product classification revision,"blocked until EFTA sources, tariff rows, and mappings are acquired",no tariff exposure estimates are inferred from placeholder rows
data/interim/live/efta_policy_dataset.csv,commodity_code,object,code,source commodity or product code,"blocked until EFTA sources, tariff rows, and mappings are acquired",no tariff exposure estimates are inferred from placeholder rows
data/interim/live/efta_policy_dataset.csv,commodity_description,object,label,source commodity or product description,"blocked until EFTA sources, tariff rows, and mappings are acquired",no tariff exposure estimates are inferred from placeholder rows
data/interim/live/efta_policy_dataset.csv,product_group,object,category,policy product group,"blocked until EFTA sources, tariff rows, and mappings are acquired",no tariff exposure estimates are inferred from placeholder rows
data/interim/live/efta_policy_dataset.csv,tariff_before,object,source unit,tariff rate or duty measure before policy change,"blocked until EFTA sources, tariff rows, and mappings are acquired",no tariff exposure estimates are inferred from placeholder rows
data/interim/live/efta_policy_dataset.csv,tariff_after,object,source unit,tariff rate or duty measure after policy change,"blocked until EFTA sources, tariff rows, and mappings are acquired",no tariff exposure estimates are inferred from placeholder rows
data/interim/live/efta_policy_dataset.csv,scheduled_reduction,object,source unit,scheduled tariff reduction,"blocked until EFTA sources, tariff rows, and mappings are acquired",no tariff exposure estimates are inferred from placeholder rows
data/interim/live/efta_policy_dataset.csv,actual_reduction,object,source unit,observed tariff reduction,"blocked until EFTA sources, tariff rows, and mappings are acquired",no tariff exposure estimates are inferred from placeholder rows
data/interim/live/efta_policy_dataset.csv,exception_status,object,status,whether the product is covered by exceptions,"blocked until EFTA sources, tariff rows, and mappings are acquired",no tariff exposure estimates are inferred from placeholder rows
data/interim/live/efta_policy_dataset.csv,portuguese_special_treatment_status,object,status,status of Portugal-specific EFTA treatment,"blocked until EFTA sources, tariff rows, and mappings are acquired",no tariff exposure estimates are inferred from placeholder rows
data/interim/live/efta_policy_dataset.csv,quota_restriction_status,object,status,status of quota or quantitative restrictions,"blocked until EFTA sources, tariff rows, and mappings are acquired",no tariff exposure estimates are inferred from placeholder rows
data/interim/live/efta_policy_dataset.csv,source_id,object,identifier,registered source identifier,"blocked until EFTA sources, tariff rows, and mappings are acquired",no tariff exposure estimates are inferred from placeholder rows
data/interim/live/efta_policy_dataset.csv,page,object,reference,source page reference,"blocked until EFTA sources, tariff rows, and mappings are acquired",no tariff exposure estimates are inferred from placeholder rows
data/interim/live/efta_policy_dataset.csv,table,object,reference,source table reference,"blocked until EFTA sources, tariff rows, and mappings are acquired",no tariff exposure estimates are inferred from placeholder rows
data/interim/live/efta_policy_dataset.csv,notes,object,text,free-text caveat or source note,"blocked until EFTA sources, tariff rows, and mappings are acquired",no tariff exposure estimates are inferred from placeholder rows
data/interim/live/efta_policy_dataset.csv,estimate_status,object,status,machine-readable status describing whether values are observed,"blocked until EFTA sources, tariff rows, and mappings are acquired",no tariff exposure estimates are inferred from placeholder rows
