dataset_path,column_name,data_type,unit,description,source_status,analytical_use
data/processed/live/industry_exposure_panel.csv,year,object,year,calendar year,blocked until industry trade panel is populated from validated mappings,descriptive exposure panel only after mapping prerequisites are satisfied
data/processed/live/industry_exposure_panel.csv,source_classification,object,code,source product classification revision,blocked until industry trade panel is populated from validated mappings,descriptive exposure panel only after mapping prerequisites are satisfied
data/processed/live/industry_exposure_panel.csv,mapping_scope,object,category,scope of the product-to-industry mapping,blocked until industry trade panel is populated from validated mappings,descriptive exposure panel only after mapping prerequisites are satisfied
data/processed/live/industry_exposure_panel.csv,mapping_version,object,identifier,registered mapping version identifier,blocked until industry trade panel is populated from validated mappings,descriptive exposure panel only after mapping prerequisites are satisfied
data/processed/live/industry_exposure_panel.csv,target_industry_code,object,code,target industry code assigned by the mapping,blocked until industry trade panel is populated from validated mappings,descriptive exposure panel only after mapping prerequisites are satisfied
data/processed/live/industry_exposure_panel.csv,target_industry_group,object,category,target industry group assigned by the mapping,blocked until industry trade panel is populated from validated mappings,descriptive exposure panel only after mapping prerequisites are satisfied
data/processed/live/industry_exposure_panel.csv,target_industry_label,object,label,human-readable target industry label,blocked until industry trade panel is populated from validated mappings,descriptive exposure panel only after mapping prerequisites are satisfied
data/processed/live/industry_exposure_panel.csv,total_exports_usd,object,not_applicable,total_exports_usd column in data/processed/live/industry_exposure_panel.csv,blocked until industry trade panel is populated from validated mappings,descriptive exposure panel only after mapping prerequisites are satisfied
data/processed/live/industry_exposure_panel.csv,colonial_exports_usd,object,not_applicable,colonial_exports_usd column in data/processed/live/industry_exposure_panel.csv,blocked until industry trade panel is populated from validated mappings,descriptive exposure panel only after mapping prerequisites are satisfied
data/processed/live/industry_exposure_panel.csv,european_exports_usd,object,not_applicable,european_exports_usd column in data/processed/live/industry_exposure_panel.csv,blocked until industry trade panel is populated from validated mappings,descriptive exposure panel only after mapping prerequisites are satisfied
data/processed/live/industry_exposure_panel.csv,colonial_exposure,object,share,colonial-demand exposure variable,blocked until industry trade panel is populated from validated mappings,descriptive exposure panel only after mapping prerequisites are satisfied
data/processed/live/industry_exposure_panel.csv,european_exposure,object,share,European-demand exposure variable,blocked until industry trade panel is populated from validated mappings,descriptive exposure panel only after mapping prerequisites are satisfied
data/processed/live/industry_exposure_panel.csv,coverage_count,object,count,observed coverage count for the row,blocked until industry trade panel is populated from validated mappings,descriptive exposure panel only after mapping prerequisites are satisfied
data/processed/live/industry_exposure_panel.csv,expected_count,object,count,expected coverage count for the row,blocked until industry trade panel is populated from validated mappings,descriptive exposure panel only after mapping prerequisites are satisfied
data/processed/live/industry_exposure_panel.csv,coverage_ratio,object,share,observed coverage divided by expected coverage,blocked until industry trade panel is populated from validated mappings,descriptive exposure panel only after mapping prerequisites are satisfied
data/processed/live/industry_exposure_panel.csv,estimate_status,object,status,machine-readable status describing whether values are observed,blocked until industry trade panel is populated from validated mappings,descriptive exposure panel only after mapping prerequisites are satisfied
data/processed/live/industry_exposure_panel.csv,source_quality,object,status,machine-readable source-quality note,blocked until industry trade panel is populated from validated mappings,descriptive exposure panel only after mapping prerequisites are satisfied
