dataset_path,column_name,data_type,unit,description,source_status,analytical_use
data/processed/live/industry_trade_panel.csv,year,object,year,calendar year,blocked until product-level trade and industry mappings are validated,not enabled for empirical analysis while empty or incompletely mapped
data/processed/live/industry_trade_panel.csv,flow_code,object,code,"trade flow code, usually X for exports or M for imports",blocked until product-level trade and industry mappings are validated,not enabled for empirical analysis while empty or incompletely mapped
data/processed/live/industry_trade_panel.csv,source_classification,object,code,source product classification revision,blocked until product-level trade and industry mappings are validated,not enabled for empirical analysis while empty or incompletely mapped
data/processed/live/industry_trade_panel.csv,mapping_scope,object,category,scope of the product-to-industry mapping,blocked until product-level trade and industry mappings are validated,not enabled for empirical analysis while empty or incompletely mapped
data/processed/live/industry_trade_panel.csv,mapping_version,object,identifier,registered mapping version identifier,blocked until product-level trade and industry mappings are validated,not enabled for empirical analysis while empty or incompletely mapped
data/processed/live/industry_trade_panel.csv,target_industry_code,object,code,target industry code assigned by the mapping,blocked until product-level trade and industry mappings are validated,not enabled for empirical analysis while empty or incompletely mapped
data/processed/live/industry_trade_panel.csv,target_industry_group,object,category,target industry group assigned by the mapping,blocked until product-level trade and industry mappings are validated,not enabled for empirical analysis while empty or incompletely mapped
data/processed/live/industry_trade_panel.csv,target_industry_label,object,label,human-readable target industry label,blocked until product-level trade and industry mappings are validated,not enabled for empirical analysis while empty or incompletely mapped
data/processed/live/industry_trade_panel.csv,partner_group,object,category,configured partner grouping used in the aggregation,blocked until product-level trade and industry mappings are validated,not enabled for empirical analysis while empty or incompletely mapped
data/processed/live/industry_trade_panel.csv,trade_value_usd,object,USD,trade value in current US dollars,blocked until product-level trade and industry mappings are validated,not enabled for empirical analysis while empty or incompletely mapped
data/processed/live/industry_trade_panel.csv,product_count,object,count,number of product codes contributing to the row,blocked until product-level trade and industry mappings are validated,not enabled for empirical analysis while empty or incompletely mapped
data/processed/live/industry_trade_panel.csv,mapping_weight,object,share,mapping weight applied to product trade values,blocked until product-level trade and industry mappings are validated,not enabled for empirical analysis while empty or incompletely mapped
data/processed/live/industry_trade_panel.csv,coverage_count,object,count,observed coverage count for the row,blocked until product-level trade and industry mappings are validated,not enabled for empirical analysis while empty or incompletely mapped
data/processed/live/industry_trade_panel.csv,expected_count,object,count,expected coverage count for the row,blocked until product-level trade and industry mappings are validated,not enabled for empirical analysis while empty or incompletely mapped
data/processed/live/industry_trade_panel.csv,coverage_ratio,object,share,observed coverage divided by expected coverage,blocked until product-level trade and industry mappings are validated,not enabled for empirical analysis while empty or incompletely mapped
data/processed/live/industry_trade_panel.csv,estimate_status,object,status,machine-readable status describing whether values are observed,blocked until product-level trade and industry mappings are validated,not enabled for empirical analysis while empty or incompletely mapped
data/processed/live/industry_trade_panel.csv,source_quality,object,status,machine-readable source-quality note,blocked until product-level trade and industry mappings are validated,not enabled for empirical analysis while empty or incompletely mapped
