dataset_path,column_name,data_type,unit,description,source_status,analytical_use
data/processed/live/sectoral_output_panel.csv,sector_code,object,code,sector identifier for empirical-design rows,blocked until source-grounded sectoral output observations are acquired,candidate empirical outcome panel; unavailable until populated and reviewed
data/processed/live/sectoral_output_panel.csv,year,object,year,calendar year,blocked until source-grounded sectoral output observations are acquired,candidate empirical outcome panel; unavailable until populated and reviewed
data/processed/live/sectoral_output_panel.csv,source_classification,object,code,source product classification revision,blocked until source-grounded sectoral output observations are acquired,candidate empirical outcome panel; unavailable until populated and reviewed
data/processed/live/sectoral_output_panel.csv,source_sector_code,object,code,sector code in the original output source classification,blocked until source-grounded sectoral output observations are acquired,candidate empirical outcome panel; unavailable until populated and reviewed
data/processed/live/sectoral_output_panel.csv,harmonised_sector_code,object,code,sector code after harmonisation to the analytical scheme,blocked until source-grounded sectoral output observations are acquired,candidate empirical outcome panel; unavailable until populated and reviewed
data/processed/live/sectoral_output_panel.csv,classification_version,object,identifier,version of the historical sector classification,blocked until source-grounded sectoral output observations are acquired,candidate empirical outcome panel; unavailable until populated and reviewed
data/processed/live/sectoral_output_panel.csv,mapping_version,object,identifier,registered mapping version identifier,blocked until source-grounded sectoral output observations are acquired,candidate empirical outcome panel; unavailable until populated and reviewed
data/processed/live/sectoral_output_panel.csv,nominal_output,object,source currency,sectoral nominal output value from reviewed source rows,blocked until source-grounded sectoral output observations are acquired,candidate empirical outcome panel; unavailable until populated and reviewed
data/processed/live/sectoral_output_panel.csv,real_output,object,source currency,sectoral real output value from reviewed source rows,blocked until source-grounded sectoral output observations are acquired,candidate empirical outcome panel; unavailable until populated and reviewed
data/processed/live/sectoral_output_panel.csv,output_growth,object,rate,sectoral output growth rate used as a candidate dependent variable,blocked until source-grounded sectoral output observations are acquired,candidate empirical outcome panel; unavailable until populated and reviewed
data/processed/live/sectoral_output_panel.csv,deflator,object,index,sector-level price deflator used to construct real output measures,blocked until source-grounded sectoral output observations are acquired,candidate empirical outcome panel; unavailable until populated and reviewed
data/processed/live/sectoral_output_panel.csv,unit,object,unit,measurement unit for the source value,blocked until source-grounded sectoral output observations are acquired,candidate empirical outcome panel; unavailable until populated and reviewed
data/processed/live/sectoral_output_panel.csv,currency,object,currency,currency used for monetary output values,blocked until source-grounded sectoral output observations are acquired,candidate empirical outcome panel; unavailable until populated and reviewed
data/processed/live/sectoral_output_panel.csv,price_basis,object,description,price basis for nominal or real output values,blocked until source-grounded sectoral output observations are acquired,candidate empirical outcome panel; unavailable until populated and reviewed
data/processed/live/sectoral_output_panel.csv,deflator_base,object,description,base period or index convention for the deflator,blocked until source-grounded sectoral output observations are acquired,candidate empirical outcome panel; unavailable until populated and reviewed
data/processed/live/sectoral_output_panel.csv,classification_break_status,object,status,machine-readable review status for classification breaks,blocked until source-grounded sectoral output observations are acquired,candidate empirical outcome panel; unavailable until populated and reviewed
data/processed/live/sectoral_output_panel.csv,real_output_method,object,method,method used to report or derive real sectoral output,blocked until source-grounded sectoral output observations are acquired,candidate empirical outcome panel; unavailable until populated and reviewed
data/processed/live/sectoral_output_panel.csv,growth_method,object,method,method used to derive sectoral output growth,blocked until source-grounded sectoral output observations are acquired,candidate empirical outcome panel; unavailable until populated and reviewed
data/processed/live/sectoral_output_panel.csv,lag_definition,object,definition,lag convention used when deriving growth rates,blocked until source-grounded sectoral output observations are acquired,candidate empirical outcome panel; unavailable until populated and reviewed
data/processed/live/sectoral_output_panel.csv,log_or_percent_change,object,method,whether growth is encoded as log change or percent change,blocked until source-grounded sectoral output observations are acquired,candidate empirical outcome panel; unavailable until populated and reviewed
data/processed/live/sectoral_output_panel.csv,base_year,object,year,base year for indexed or deflated output measures,blocked until source-grounded sectoral output observations are acquired,candidate empirical outcome panel; unavailable until populated and reviewed
data/processed/live/sectoral_output_panel.csv,current_source_id,object,identifier,source identifier for the current-year level used in a derived growth observation,blocked until source-grounded sectoral output observations are acquired,candidate empirical outcome panel; unavailable until populated and reviewed
data/processed/live/sectoral_output_panel.csv,lag_source_id,object,identifier,source identifier for the prior-year level used in a derived growth observation,blocked until source-grounded sectoral output observations are acquired,candidate empirical outcome panel; unavailable until populated and reviewed
data/processed/live/sectoral_output_panel.csv,source_id,object,identifier,registered source identifier,blocked until source-grounded sectoral output observations are acquired,candidate empirical outcome panel; unavailable until populated and reviewed
data/processed/live/sectoral_output_panel.csv,source_quality,object,status,machine-readable source-quality note,blocked until source-grounded sectoral output observations are acquired,candidate empirical outcome panel; unavailable until populated and reviewed
