year,flow_code,partner_group,trade_value_usd,source_quality,annual_group_share
1962,M,colonies,73792234.0,selected_partner_records_not_full_world,0.3239803006798283
1962,M,eec6,40850044.0,selected_partner_records_not_full_world,0.17934962557041187
1962,M,efta,111855837.0,selected_partner_records_not_full_world,0.49109622706440714
1962,M,rest_of_world,1269542.0,selected_partner_records_not_full_world,0.005573846685352697
1962,X,colonies,83098353.0,selected_partner_records_not_full_world,0.46558130398192354
1962,X,eec6,28089806.0,selected_partner_records_not_full_world,0.157380838896762
1962,X,efta,67250336.0,selected_partner_records_not_full_world,0.37678844402731415
1962,X,rest_of_world,44516.0,selected_partner_records_not_full_world,0.00024941309400030237
1963,M,colonies,93923476.0,selected_partner_records_not_full_world,0.36001196842172534
1963,M,eec6,50329912.0,selected_partner_records_not_full_world,0.19291631295260214
1963,M,efta,115240485.0,selected_partner_records_not_full_world,0.441720809467532
1963,M,rest_of_world,1395998.0,selected_partner_records_not_full_world,0.005350909158140524
1963,X,colonies,99195395.0,selected_partner_records_not_full_world,0.47258711235326406
1963,X,eec6,27813570.0,selected_partner_records_not_full_world,0.13250952557359516
1963,X,efta,82845548.0,selected_partner_records_not_full_world,0.39469310345146297
1963,X,rest_of_world,44133.0,selected_partner_records_not_full_world,0.00021025862167781682
1964,M,colonies,115615718.0,selected_partner_records_not_full_world,0.3718965695011813
1964,M,eec6,57383756.0,selected_partner_records_not_full_world,0.18458408917629027
1964,M,efta,134554637.0,selected_partner_records_not_full_world,0.43281665137240866
1964,M,rest_of_world,3327267.0,selected_partner_records_not_full_world,0.010702689950119817
1964,X,colonies,128641990.0,selected_partner_records_not_full_world,0.46493257642247143
1964,X,eec6,29153135.0,selected_partner_records_not_full_world,0.10536405854995035
1964,X,efta,118653536.0,selected_partner_records_not_full_world,0.4288327177939059
1964,X,rest_of_world,240899.0,selected_partner_records_not_full_world,0.0008706472336722788
1965,M,colonies,126958500.0,selected_partner_records_not_full_world,0.3516262749490389
1965,M,eec6,70439448.0,selected_partner_records_not_full_world,0.1950902122323951
1965,M,efta,161801463.0,selected_partner_records_not_full_world,0.4481278978248384
1965,M,rest_of_world,1861491.0,selected_partner_records_not_full_world,0.0051556149937275675
1965,X,colonies,143866044.0,selected_partner_records_not_full_world,0.4504755180552199
1965,X,eec6,32406553.0,selected_partner_records_not_full_world,0.10147188554832953
1965,X,efta,142555805.0,selected_partner_records_not_full_world,0.44637287801667713
1965,X,rest_of_world,536443.0,selected_partner_records_not_full_world,0.001679718379773453
1966,M,colonies,137102531.0,selected_partner_records_not_full_world,0.32528755856162317
1966,M,eec6,83374512.0,selected_partner_records_not_full_world,0.1978132078010052
1966,M,efta,196918753.0,selected_partner_records_not_full_world,0.4672066951001022
1966,M,rest_of_world,4085221.0,selected_partner_records_not_full_world,0.009692538537269401
1966,X,colonies,145838524.0,selected_partner_records_not_full_world,0.4232827291735505
1966,X,eec6,35793797.0,selected_partner_records_not_full_world,0.10388816113939855
1966,X,efta,162498004.0,selected_partner_records_not_full_world,0.471635317828467
1966,X,rest_of_world,411311.0,selected_partner_records_not_full_world,0.0011937918585839652
1967,M,colonies,151344788.0,selected_partner_records_not_full_world,0.33739930928337936
1967,M,eec6,92794272.0,selected_partner_records_not_full_world,0.2068701782994604
1967,M,efta,199174656.0,selected_partner_records_not_full_world,0.4440284482155718
1967,M,rest_of_world,5249111.0,selected_partner_records_not_full_world,0.011702064201588421
1967,X,colonies,170851590.0,selected_partner_records_not_full_world,0.40316768818953347
1967,X,eec6,33646784.0,selected_partner_records_not_full_world,0.0793981262936598
1967,X,efta,219039087.0,selected_partner_records_not_full_world,0.5168783171929281
1967,X,rest_of_world,235562.0,selected_partner_records_not_full_world,0.0005558683238786533
1968,M,colonies,185909288.0,selected_partner_records_not_full_world,0.3699819346190441
1968,M,eec6,99229982.0,selected_partner_records_not_full_world,0.19747964777624732
1968,M,efta,214385676.0,selected_partner_records_not_full_world,0.42665338571514283
1968,M,rest_of_world,2957123.0,selected_partner_records_not_full_world,0.005885031889565795
1968,X,colonies,189667610.0,selected_partner_records_not_full_world,0.4113949120100177
1968,X,eec6,33544577.0,selected_partner_records_not_full_world,0.07275922495848534
1968,X,efta,237583890.0,selected_partner_records_not_full_world,0.515326805254454
1968,X,rest_of_world,239304.0,selected_partner_records_not_full_world,0.0005190577770429294
1969,M,colonies,194974368.0,selected_partner_records_not_full_world,0.34566738238676836
1969,M,eec6,109373804.0,selected_partner_records_not_full_world,0.19390731673182526
1969,M,efta,254126668.0,selected_partner_records_not_full_world,0.4505376836109623
1969,M,rest_of_world,5577130.0,selected_partner_records_not_full_world,0.00988761727044407
1969,X,colonies,211356325.0,selected_partner_records_not_full_world,0.4008223467805475
1969,X,eec6,39432378.0,selected_partner_records_not_full_world,0.07478072061055013
