year,flow_code,partner_group,commodity_code_source,trade_value_usd,product_share_within_group,source_quality
1962,M,colonies,TOTAL,73792234.0,1.0,aggregate_total_only_no_product_detail
1962,M,eec6,TOTAL,40850044.0,1.0,aggregate_total_only_no_product_detail
1962,M,efta,TOTAL,111855837.0,1.0,aggregate_total_only_no_product_detail
1962,M,rest_of_world,TOTAL,1269542.0,1.0,aggregate_total_only_no_product_detail
1962,X,colonies,TOTAL,83098353.0,1.0,aggregate_total_only_no_product_detail
1962,X,eec6,TOTAL,28089806.0,1.0,aggregate_total_only_no_product_detail
1962,X,efta,TOTAL,67250336.0,1.0,aggregate_total_only_no_product_detail
1962,X,rest_of_world,TOTAL,44516.0,1.0,aggregate_total_only_no_product_detail
1963,M,colonies,TOTAL,93923476.0,1.0,aggregate_total_only_no_product_detail
1963,M,eec6,TOTAL,50329912.0,1.0,aggregate_total_only_no_product_detail
1963,M,efta,TOTAL,115240485.0,1.0,aggregate_total_only_no_product_detail
1963,M,rest_of_world,TOTAL,1395998.0,1.0,aggregate_total_only_no_product_detail
1963,X,colonies,TOTAL,99195395.0,1.0,aggregate_total_only_no_product_detail
1963,X,eec6,TOTAL,27813570.0,1.0,aggregate_total_only_no_product_detail
1963,X,efta,TOTAL,82845548.0,1.0,aggregate_total_only_no_product_detail
1963,X,rest_of_world,TOTAL,44133.0,1.0,aggregate_total_only_no_product_detail
1964,M,colonies,TOTAL,115615718.0,1.0,aggregate_total_only_no_product_detail
1964,M,eec6,TOTAL,57383756.0,1.0,aggregate_total_only_no_product_detail
1964,M,efta,TOTAL,134554637.0,1.0,aggregate_total_only_no_product_detail
1964,M,rest_of_world,TOTAL,3327267.0,1.0,aggregate_total_only_no_product_detail
1964,X,colonies,TOTAL,128641990.0,1.0,aggregate_total_only_no_product_detail
1964,X,eec6,TOTAL,29153135.0,1.0,aggregate_total_only_no_product_detail
1964,X,efta,TOTAL,118653536.0,1.0,aggregate_total_only_no_product_detail
1964,X,rest_of_world,TOTAL,240899.0,1.0,aggregate_total_only_no_product_detail
1965,M,colonies,TOTAL,126958500.0,1.0,aggregate_total_only_no_product_detail
1965,M,eec6,TOTAL,70439448.0,1.0,aggregate_total_only_no_product_detail
1965,M,efta,TOTAL,161801463.0,1.0,aggregate_total_only_no_product_detail
1965,M,rest_of_world,TOTAL,1861491.0,1.0,aggregate_total_only_no_product_detail
1965,X,colonies,TOTAL,143866044.0,1.0,aggregate_total_only_no_product_detail
1965,X,eec6,TOTAL,32406553.0,1.0,aggregate_total_only_no_product_detail
1965,X,efta,TOTAL,142555805.0,1.0,aggregate_total_only_no_product_detail
1965,X,rest_of_world,TOTAL,536443.0,1.0,aggregate_total_only_no_product_detail
1966,M,colonies,TOTAL,137102531.0,1.0,aggregate_total_only_no_product_detail
1966,M,eec6,TOTAL,83374512.0,1.0,aggregate_total_only_no_product_detail
1966,M,efta,TOTAL,196918753.0,1.0,aggregate_total_only_no_product_detail
1966,M,rest_of_world,TOTAL,4085221.0,1.0,aggregate_total_only_no_product_detail
1966,X,colonies,TOTAL,145838524.0,1.0,aggregate_total_only_no_product_detail
1966,X,eec6,TOTAL,35793797.0,1.0,aggregate_total_only_no_product_detail
1966,X,efta,TOTAL,162498004.0,1.0,aggregate_total_only_no_product_detail
1966,X,rest_of_world,TOTAL,411311.0,1.0,aggregate_total_only_no_product_detail
1967,M,colonies,TOTAL,151344788.0,1.0,aggregate_total_only_no_product_detail
1967,M,eec6,TOTAL,92794272.0,1.0,aggregate_total_only_no_product_detail
1967,M,efta,TOTAL,199174656.0,1.0,aggregate_total_only_no_product_detail
1967,M,rest_of_world,TOTAL,5249111.0,1.0,aggregate_total_only_no_product_detail
1967,X,colonies,TOTAL,170851590.0,1.0,aggregate_total_only_no_product_detail
1967,X,eec6,TOTAL,33646784.0,1.0,aggregate_total_only_no_product_detail
1967,X,efta,TOTAL,219039087.0,1.0,aggregate_total_only_no_product_detail
1967,X,rest_of_world,TOTAL,235562.0,1.0,aggregate_total_only_no_product_detail
1968,M,colonies,TOTAL,185909288.0,1.0,aggregate_total_only_no_product_detail
1968,M,eec6,TOTAL,99229982.0,1.0,aggregate_total_only_no_product_detail
1968,M,efta,TOTAL,214385676.0,1.0,aggregate_total_only_no_product_detail
1968,M,rest_of_world,TOTAL,2957123.0,1.0,aggregate_total_only_no_product_detail
1968,X,colonies,TOTAL,189667610.0,1.0,aggregate_total_only_no_product_detail
1968,X,eec6,TOTAL,33544577.0,1.0,aggregate_total_only_no_product_detail
1968,X,efta,TOTAL,237583890.0,1.0,aggregate_total_only_no_product_detail
1968,X,rest_of_world,TOTAL,239304.0,1.0,aggregate_total_only_no_product_detail
1969,M,colonies,TOTAL,194974368.0,1.0,aggregate_total_only_no_product_detail
1969,M,eec6,TOTAL,109373804.0,1.0,aggregate_total_only_no_product_detail
1969,M,efta,TOTAL,254126668.0,1.0,aggregate_total_only_no_product_detail
1969,M,rest_of_world,TOTAL,5577130.0,1.0,aggregate_total_only_no_product_detail
1969,X,colonies,TOTAL,211356325.0,1.0,aggregate_total_only_no_product_detail
1969,X,eec6,TOTAL,39432378.0,1.0,aggregate_total_only_no_product_detail
1969,X,efta,TOTAL,276105162.0,1.0,aggregate_total_only_no_product_detail
1969,X,rest_of_world,TOTAL,412875.0,1.0,aggregate_total_only_no_product_detail
1970,M,colonies,TOTAL,233667075.0,1.0,aggregate_total_only_no_product_detail
1970,M,eec6,TOTAL,124400120.0,1.0,aggregate_total_only_no_product_detail
1970,M,efta,TOTAL,325016245.0,1.0,aggregate_total_only_no_product_detail
1970,X,colonies,TOTAL,232458821.0,1.0,aggregate_total_only_no_product_detail
1970,X,eec6,TOTAL,55344136.0,1.0,aggregate_total_only_no_product_detail
1970,X,efta,TOTAL,302642343.0,1.0,aggregate_total_only_no_product_detail
1971,M,colonies,TOTAL,241496013.0,1.0,aggregate_total_only_no_product_detail
1971,M,eec6,TOTAL,140363040.0,1.0,aggregate_total_only_no_product_detail
1971,M,efta,TOTAL,356628484.0,1.0,aggregate_total_only_no_product_detail
1971,X,colonies,TOTAL,225446933.0,1.0,aggregate_total_only_no_product_detail
1971,X,eec6,TOTAL,57496688.0,1.0,aggregate_total_only_no_product_detail
1971,X,efta,TOTAL,350460613.0,1.0,aggregate_total_only_no_product_detail
1972,M,colonies,TOTAL,258759843.0,1.0,aggregate_total_only_no_product_detail
1972,M,eec6,TOTAL,176538400.0,1.0,aggregate_total_only_no_product_detail
1972,M,efta,TOTAL,431347765.0,1.0,aggregate_total_only_no_product_detail
1972,X,colonies,TOTAL,189372669.0,1.0,aggregate_total_only_no_product_detail
1972,X,eec6,TOTAL,71729328.0,1.0,aggregate_total_only_no_product_detail
1972,X,efta,TOTAL,465746317.0,1.0,aggregate_total_only_no_product_detail
1973,M,colonies,TOTAL,309642994.0,1.0,aggregate_total_only_no_product_detail
1973,M,eec6,TOTAL,257523040.0,1.0,aggregate_total_only_no_product_detail
1973,M,efta,TOTAL,208257874.0,1.0,aggregate_total_only_no_product_detail
1973,M,rest_of_world,TOTAL,375016224.0,1.0,aggregate_total_only_no_product_detail
