year,flow_code,source,territorial_definition,source_value,source_unit,source_currency,nominal_conversion_method,coverage_definition,included_partners,benchmark_source,benchmark_value,difference_from_benchmark,absolute_discrepancy,percentage_discrepancy,explanatory_note,confidence_status
1960,M,CEPII TRADHIST,not_available_locally,,,,,,,UN Comtrade,,,,,No local structured source table is available yet.,missing_source
1960,M,EFTA,not_available_locally,,,,,,,UN Comtrade,,,,,No local structured source table is available yet.,missing_source
1960,M,INE,INE statistical territories as printed in the 1960 volume; partner rows are grouped by O.E.C.E. participation rather than by continent,,nominal merchandise trade,USD,no_registered_exchange_rate_for_1960,INE special-trade World total,World,UN Comtrade,,,,,Validated double-entry INE aggregate; no USD comparison is derived because no 1960 PTE/USD rate is registered. Rates from other years are never substituted.,blocked_pending_year_exchange_rate
1960,M,OECD,not_available_locally,,,,,,,UN Comtrade,,,,,No local structured source table is available yet.,missing_source
1960,X,CEPII TRADHIST,not_available_locally,,,,,,,UN Comtrade,,,,,No local structured source table is available yet.,missing_source
1960,X,EFTA,not_available_locally,,,,,,,UN Comtrade,,,,,No local structured source table is available yet.,missing_source
1960,X,INE,INE statistical territories as printed in the 1960 volume; partner rows are grouped by O.E.C.E. participation rather than by continent,,nominal merchandise trade,USD,no_registered_exchange_rate_for_1960,INE special-trade World total,World,UN Comtrade,,,,,Validated double-entry INE aggregate; no USD comparison is derived because no 1960 PTE/USD rate is registered. Rates from other years are never substituted.,blocked_pending_year_exchange_rate
1960,X,OECD,not_available_locally,,,,,,,UN Comtrade,,,,,No local structured source table is available yet.,missing_source
1962,M,CEPII TRADHIST,not_available_locally,,,,,,,UN Comtrade,,,,,No local structured source table is available yet.,missing_source
1962,M,EFTA,not_available_locally,,,,,,,UN Comtrade,,,,,No local structured source table is available yet.,missing_source
1962,M,INE,INE statistical territories as printed in the 1962 volume; metropolitan-territory scope remains pending territorial-definition review,585375130.4347826,nominal merchandise trade,USD,source_b_original_value / 28.75; registered 1962 PTE/USD rate,INE special-trade World total,World,UN Comtrade,585345024.0,30106.434782624245,30106.434782624245,5.143365630220894e-05,Validated double-entry INE aggregate; converted only for diagnostic comparison pending territorial-definition evidence.,usable_with_conversion_and_territorial_caveat
1962,M,OECD,not_available_locally,,,,,,,UN Comtrade,,,,,No local structured source table is available yet.,missing_source
1962,M,UN Comtrade,requires_historical_metadata_review,585345024.0,nominal merchandise trade,USD,source_reported_usd,"Portugal reporter code 620, World partner total",World,UN Comtrade,585345024.0,0.0,0.0,0.0,Benchmark row; territorial definition still under review.,usable_with_territorial_caveat
1962,X,CEPII TRADHIST,not_available_locally,,,,,,,UN Comtrade,,,,,No local structured source table is available yet.,missing_source
1962,X,EFTA,not_available_locally,,,,,,,UN Comtrade,,,,,No local structured source table is available yet.,missing_source
1962,X,INE,INE statistical territories as printed in the 1962 volume; metropolitan-territory scope remains pending territorial-definition review,369802747.82608694,nominal merchandise trade,USD,source_b_original_value / 28.75; registered 1962 PTE/USD rate,INE special-trade World total,World,UN Comtrade,369792288.0,10459.826086938381,10459.826086938381,2.828567935667274e-05,Validated double-entry INE aggregate; converted only for diagnostic comparison pending territorial-definition evidence.,usable_with_conversion_and_territorial_caveat
1962,X,OECD,not_available_locally,,,,,,,UN Comtrade,,,,,No local structured source table is available yet.,missing_source
1962,X,UN Comtrade,requires_historical_metadata_review,369792288.0,nominal merchandise trade,USD,source_reported_usd,"Portugal reporter code 620, World partner total",World,UN Comtrade,369792288.0,0.0,0.0,0.0,Benchmark row; territorial definition still under review.,usable_with_territorial_caveat
1963,M,CEPII TRADHIST,not_available_locally,,,,,,,UN Comtrade,,,,,No local structured source table is available yet.,missing_source
1963,M,EFTA,not_available_locally,,,,,,,UN Comtrade,,,,,No local structured source table is available yet.,missing_source
1963,M,INE,not_available_locally,,,,,,,UN Comtrade,,,,,No local structured source table is available yet.,missing_source
1963,M,OECD,not_available_locally,,,,,,,UN Comtrade,,,,,No local structured source table is available yet.,missing_source
1963,M,UN Comtrade,requires_historical_metadata_review,656176256.0,nominal merchandise trade,USD,source_reported_usd,"Portugal reporter code 620, World partner total",World,UN Comtrade,656176256.0,0.0,0.0,0.0,Benchmark row; territorial definition still under review.,usable_with_territorial_caveat
1963,X,CEPII TRADHIST,not_available_locally,,,,,,,UN Comtrade,,,,,No local structured source table is available yet.,missing_source
1963,X,EFTA,not_available_locally,,,,,,,UN Comtrade,,,,,No local structured source table is available yet.,missing_source
1963,X,INE,not_available_locally,,,,,,,UN Comtrade,,,,,No local structured source table is available yet.,missing_source
1963,X,OECD,not_available_locally,,,,,,,UN Comtrade,,,,,No local structured source table is available yet.,missing_source
1963,X,UN Comtrade,requires_historical_metadata_review,418157120.0,nominal merchandise trade,USD,source_reported_usd,"Portugal reporter code 620, World partner total",World,UN Comtrade,418157120.0,0.0,0.0,0.0,Benchmark row; territorial definition still under review.,usable_with_territorial_caveat
1964,M,CEPII TRADHIST,not_available_locally,,,,,,,UN Comtrade,,,,,No local structured source table is available yet.,missing_source
1964,M,EFTA,not_available_locally,,,,,,,UN Comtrade,,,,,No local structured source table is available yet.,missing_source
1964,M,INE,"INE statistical territories as printed in the 1964 volume; partner rows are listed under Europa without bloc subtotals, and Finland and Ireland are not printed separately",,nominal merchandise trade,USD,no_registered_exchange_rate_for_1964,INE special-trade World total,World,UN Comtrade,,,,,Validated double-entry INE aggregate; no USD comparison is derived because no 1964 PTE/USD rate is registered. Rates from other years are never substituted.,blocked_pending_year_exchange_rate
1964,M,OECD,not_available_locally,,,,,,,UN Comtrade,,,,,No local structured source table is available yet.,missing_source
1964,M,UN Comtrade,requires_historical_metadata_review,776289984.0,nominal merchandise trade,USD,source_reported_usd,"Portugal reporter code 620, World partner total",World,UN Comtrade,776289984.0,0.0,0.0,0.0,Benchmark row; territorial definition still under review.,usable_with_territorial_caveat
1964,X,CEPII TRADHIST,not_available_locally,,,,,,,UN Comtrade,,,,,No local structured source table is available yet.,missing_source
1964,X,EFTA,not_available_locally,,,,,,,UN Comtrade,,,,,No local structured source table is available yet.,missing_source
1964,X,INE,"INE statistical territories as printed in the 1964 volume; partner rows are listed under Europa without bloc subtotals, and Finland and Ireland are not printed separately",,nominal merchandise trade,USD,no_registered_exchange_rate_for_1964,INE special-trade World total,World,UN Comtrade,,,,,Validated double-entry INE aggregate; no USD comparison is derived because no 1964 PTE/USD rate is registered. Rates from other years are never substituted.,blocked_pending_year_exchange_rate
1964,X,OECD,not_available_locally,,,,,,,UN Comtrade,,,,,No local structured source table is available yet.,missing_source
1964,X,UN Comtrade,requires_historical_metadata_review,515699840.0,nominal merchandise trade,USD,source_reported_usd,"Portugal reporter code 620, World partner total",World,UN Comtrade,515699840.0,0.0,0.0,0.0,Benchmark row; territorial definition still under review.,usable_with_territorial_caveat
1965,M,CEPII TRADHIST,not_available_locally,,,,,,,UN Comtrade,,,,,No local structured source table is available yet.,missing_source
1965,M,EFTA,not_available_locally,,,,,,,UN Comtrade,,,,,No local structured source table is available yet.,missing_source
1965,M,INE,INE statistical territories as printed in the 1965 volume; verify against page 23,,nominal merchandise trade,USD,no_registered_exchange_rate_for_1965,INE special-trade World total,World,UN Comtrade,,,,,Validated double-entry INE aggregate; no USD comparison is derived because no 1965 PTE/USD rate is registered. Rates from other years are never substituted.,blocked_pending_year_exchange_rate
1965,M,OECD,not_available_locally,,,,,,,UN Comtrade,,,,,No local structured source table is available yet.,missing_source
1965,M,UN Comtrade,requires_historical_metadata_review,923515840.0,nominal merchandise trade,USD,source_reported_usd,"Portugal reporter code 620, World partner total",World,UN Comtrade,923515840.0,0.0,0.0,0.0,Benchmark row; territorial definition still under review.,usable_with_territorial_caveat
1965,X,CEPII TRADHIST,not_available_locally,,,,,,,UN Comtrade,,,,,No local structured source table is available yet.,missing_source
1965,X,EFTA,not_available_locally,,,,,,,UN Comtrade,,,,,No local structured source table is available yet.,missing_source
1965,X,INE,INE statistical territories as printed in the 1965 volume; verify against page 23,,nominal merchandise trade,USD,no_registered_exchange_rate_for_1965,INE special-trade World total,World,UN Comtrade,,,,,Validated double-entry INE aggregate; no USD comparison is derived because no 1965 PTE/USD rate is registered. Rates from other years are never substituted.,blocked_pending_year_exchange_rate
1965,X,OECD,not_available_locally,,,,,,,UN Comtrade,,,,,No local structured source table is available yet.,missing_source
1965,X,UN Comtrade,requires_historical_metadata_review,576399168.0,nominal merchandise trade,USD,source_reported_usd,"Portugal reporter code 620, World partner total",World,UN Comtrade,576399168.0,0.0,0.0,0.0,Benchmark row; territorial definition still under review.,usable_with_territorial_caveat
1966,M,CEPII TRADHIST,not_available_locally,,,,,,,UN Comtrade,,,,,No local structured source table is available yet.,missing_source
1966,M,EFTA,not_available_locally,,,,,,,UN Comtrade,,,,,No local structured source table is available yet.,missing_source
1966,M,INE,"INE statistical territories as printed in the 1966 volume; partner rows are listed under Europa without bloc subtotals, and Finland and Ireland are not printed separately",,nominal merchandise trade,USD,no_registered_exchange_rate_for_1966,INE special-trade World total,World,UN Comtrade,,,,,Validated double-entry INE aggregate; no USD comparison is derived because no 1966 PTE/USD rate is registered. Rates from other years are never substituted.,blocked_pending_year_exchange_rate
1966,M,OECD,not_available_locally,,,,,,,UN Comtrade,,,,,No local structured source table is available yet.,missing_source
1966,M,UN Comtrade,requires_historical_metadata_review,1022796800.0,nominal merchandise trade,USD,source_reported_usd,"Portugal reporter code 620, World partner total",World,UN Comtrade,1022796800.0,0.0,0.0,0.0,Benchmark row; territorial definition still under review.,usable_with_territorial_caveat
1966,X,CEPII TRADHIST,not_available_locally,,,,,,,UN Comtrade,,,,,No local structured source table is available yet.,missing_source
1966,X,EFTA,not_available_locally,,,,,,,UN Comtrade,,,,,No local structured source table is available yet.,missing_source
1966,X,INE,"INE statistical territories as printed in the 1966 volume; partner rows are listed under Europa without bloc subtotals, and Finland and Ireland are not printed separately",,nominal merchandise trade,USD,no_registered_exchange_rate_for_1966,INE special-trade World total,World,UN Comtrade,,,,,Validated double-entry INE aggregate; no USD comparison is derived because no 1966 PTE/USD rate is registered. Rates from other years are never substituted.,blocked_pending_year_exchange_rate
1966,X,OECD,not_available_locally,,,,,,,UN Comtrade,,,,,No local structured source table is available yet.,missing_source
1966,X,UN Comtrade,requires_historical_metadata_review,619503488.0,nominal merchandise trade,USD,source_reported_usd,"Portugal reporter code 620, World partner total",World,UN Comtrade,619503488.0,0.0,0.0,0.0,Benchmark row; territorial definition still under review.,usable_with_territorial_caveat
1967,M,CEPII TRADHIST,not_available_locally,,,,,,,UN Comtrade,,,,,No local structured source table is available yet.,missing_source
1967,M,EFTA,not_available_locally,,,,,,,UN Comtrade,,,,,No local structured source table is available yet.,missing_source
1967,M,INE,"INE statistical territories as printed in the 1967 volume; partner rows are listed under Europa without bloc subtotals, and Finland and Ireland are not printed separately",,nominal merchandise trade,USD,no_registered_exchange_rate_for_1967,INE special-trade World total,World,UN Comtrade,,,,,Validated double-entry INE aggregate; no USD comparison is derived because no 1967 PTE/USD rate is registered. Rates from other years are never substituted.,blocked_pending_year_exchange_rate
1967,M,OECD,not_available_locally,,,,,,,UN Comtrade,,,,,No local structured source table is available yet.,missing_source
1967,M,UN Comtrade,requires_historical_metadata_review,1059153920.0,nominal merchandise trade,USD,source_reported_usd,"Portugal reporter code 620, World partner total",World,UN Comtrade,1059153920.0,0.0,0.0,0.0,Benchmark row; territorial definition still under review.,usable_with_territorial_caveat
1967,X,CEPII TRADHIST,not_available_locally,,,,,,,UN Comtrade,,,,,No local structured source table is available yet.,missing_source
1967,X,EFTA,not_available_locally,,,,,,,UN Comtrade,,,,,No local structured source table is available yet.,missing_source
1967,X,INE,"INE statistical territories as printed in the 1967 volume; partner rows are listed under Europa without bloc subtotals, and Finland and Ireland are not printed separately",,nominal merchandise trade,USD,no_registered_exchange_rate_for_1967,INE special-trade World total,World,UN Comtrade,,,,,Validated double-entry INE aggregate; no USD comparison is derived because no 1967 PTE/USD rate is registered. Rates from other years are never substituted.,blocked_pending_year_exchange_rate
1967,X,OECD,not_available_locally,,,,,,,UN Comtrade,,,,,No local structured source table is available yet.,missing_source
1967,X,UN Comtrade,requires_historical_metadata_review,701361664.0,nominal merchandise trade,USD,source_reported_usd,"Portugal reporter code 620, World partner total",World,UN Comtrade,701361664.0,0.0,0.0,0.0,Benchmark row; territorial definition still under review.,usable_with_territorial_caveat
1968,M,CEPII TRADHIST,not_available_locally,,,,,,,UN Comtrade,,,,,No local structured source table is available yet.,missing_source
1968,M,EFTA,not_available_locally,,,,,,,UN Comtrade,,,,,No local structured source table is available yet.,missing_source
