dataset_path,column_name,data_type,unit,description,source_status,analytical_use
data/processed/live/validated_annual_aggregate_external_orientation.csv,year,int64,year,calendar year,mixed source-backed benchmark rows and explicitly blocked non-benchmark years,descriptive aggregate-orientation table; not a causal design matrix
data/processed/live/validated_annual_aggregate_external_orientation.csv,world_exports_pte,object,PTE,total merchandise exports from the preferred aggregate source,mixed source-backed benchmark rows and explicitly blocked non-benchmark years,descriptive aggregate-orientation table; not a causal design matrix
data/processed/live/validated_annual_aggregate_external_orientation.csv,world_imports_pte,object,PTE,total merchandise imports from the preferred aggregate source,mixed source-backed benchmark rows and explicitly blocked non-benchmark years,descriptive aggregate-orientation table; not a causal design matrix
data/processed/live/validated_annual_aggregate_external_orientation.csv,colonial_exports_complete_pte,object,PTE,complete colonial-market exports from source-backed aggregate rows,mixed source-backed benchmark rows and explicitly blocked non-benchmark years,descriptive aggregate-orientation table; not a causal design matrix
data/processed/live/validated_annual_aggregate_external_orientation.csv,colonial_imports_complete_pte,object,PTE,complete colonial-market imports from source-backed aggregate rows,mixed source-backed benchmark rows and explicitly blocked non-benchmark years,descriptive aggregate-orientation table; not a causal design matrix
data/processed/live/validated_annual_aggregate_external_orientation.csv,colonial_exports_observed_comtrade_usd,object,USD,observed Comtrade colonial-partner export subtotal retained as a diagnostic,mixed source-backed benchmark rows and explicitly blocked non-benchmark years,descriptive aggregate-orientation table; not a causal design matrix
data/processed/live/validated_annual_aggregate_external_orientation.csv,colonial_imports_observed_comtrade_usd,object,USD,observed Comtrade colonial-partner import subtotal retained as a diagnostic,mixed source-backed benchmark rows and explicitly blocked non-benchmark years,descriptive aggregate-orientation table; not a causal design matrix
data/processed/live/validated_annual_aggregate_external_orientation.csv,complete_colonial_export_share,object,share,complete colonial exports divided by total exports,mixed source-backed benchmark rows and explicitly blocked non-benchmark years,descriptive aggregate-orientation table; not a causal design matrix
data/processed/live/validated_annual_aggregate_external_orientation.csv,complete_colonial_import_share,object,share,complete colonial imports divided by total imports,mixed source-backed benchmark rows and explicitly blocked non-benchmark years,descriptive aggregate-orientation table; not a causal design matrix
data/processed/live/validated_annual_aggregate_external_orientation.csv,observed_colonial_export_share,object,share,observed Comtrade colonial export subtotal divided by Comtrade world exports,mixed source-backed benchmark rows and explicitly blocked non-benchmark years,descriptive aggregate-orientation table; not a causal design matrix
